赛区,场次号,红方学校,蓝方学校,局数,红胜局,蓝胜局,场总伤害,平均时长,胜方学校,红方类别,蓝方类别,序号,热力图,代表局号,代表局game_id,代表局总伤害,轨迹图
北部赛区,90,东北大学,哈尔滨工业大学,4,3,1,53245.0,404.75,东北大学,全国赛,全国赛,1,h2h_001_heatmap_东北大学_vs_哈尔滨工业大学.png,4,1780391866389,15574.0,h2h_001_paths_round4_东北大学_vs_哈尔滨工业大学.png
南部赛区,87,广州城市理工学院,东莞理工学院,4,3,1,41777.0,420.0,广州城市理工学院,全国赛,全国赛,2,h2h_002_heatmap_广州城市理工学院_vs_东莞理工学院.png,1,1778998192727,12318.0,h2h_002_paths_round1_广州城市理工学院_vs_东莞理工学院.png
南部赛区,88,五邑大学,华南农业大学,3,0,3,39762.0,420.0,华南农业大学,全国赛,全国赛,3,h2h_003_heatmap_五邑大学_vs_华南农业大学.png,2,1779002815710,14165.0,h2h_003_paths_round2_五邑大学_vs_华南农业大学.png
东部赛区,87,合肥工业大学（宣城校区）,浙江大学,4,3,1,37471.0,420.0,合肥工业大学（宣城校区）,全国赛,全国赛,4,h2h_004_heatmap_合肥工业大学_宣城校区_vs_浙江大学.png,1,1779689998185,10607.0,h2h_004_paths_round1_合肥工业大学_宣城校区_vs_浙江大学.png
东部赛区,88,山东科技大学,中国石油大学（华东）,4,1,3,36619.0,420.0,中国石油大学（华东）,全国赛,全国赛,5,h2h_005_heatmap_山东科技大学_vs_中国石油大学_华东.png,1,1779693823256,10446.0,h2h_005_paths_round1_山东科技大学_vs_中国石油大学_华东.png
北部赛区,89,哈尔滨工业大学（威海）,西北工业大学,3,3,0,36128.0,420.0,哈尔滨工业大学（威海）,全国赛,全国赛,6,h2h_006_heatmap_哈尔滨工业大学_威海_vs_西北工业大学.png,3,1780386397433,13142.0,h2h_006_paths_round3_哈尔滨工业大学_威海_vs_西北工业大学.png
北部赛区,78,复旦大学,哈尔滨工业大学,3,1,2,33672.0,420.0,哈尔滨工业大学,全国赛,全国赛,7,h2h_007_heatmap_复旦大学_vs_哈尔滨工业大学.png,2,1780323038454,12857.0,h2h_007_paths_round2_复旦大学_vs_哈尔滨工业大学.png
南部赛区,27,广东工业大学,广州城市理工学院,3,1,2,32340.0,420.0,广州城市理工学院,复活赛,全国赛,8,h2h_008_heatmap_广东工业大学_vs_广州城市理工学院.png,3,1778736603265,11744.0,h2h_008_paths_round3_广东工业大学_vs_广州城市理工学院.png
南部赛区,76,东莞理工学院,华南理工大学,3,2,1,31024.0,420.0,东莞理工学院,全国赛,全国赛,9,h2h_009_heatmap_东莞理工学院_vs_华南理工大学.png,2,1778937468211,12653.0,h2h_009_paths_round2_东莞理工学院_vs_华南理工大学.png
南部赛区,74,南华大学,仲恺农业工程学院,3,1,2,30697.0,420.0,仲恺农业工程学院,复活赛,全国赛,10,h2h_010_heatmap_南华大学_vs_仲恺农业工程学院.png,1,1778929767993,12805.0,h2h_010_paths_round1_南华大学_vs_仲恺农业工程学院.png
