学校名,队伍名称,手册参赛类别,全国赛种子梯队,复活赛梯队,区域赛区,区域赛局数,区域赛胜局率,区域赛场胜率,火力收益_平均造成伤害,平均装配次数,装配收益指数_显示用,平均飞镖伤害,飞镖收益指数_显示用,平均易伤机器人秒,平均末基地血量,战术画像
中国石油大学（华东）,RPS,全国赛,第一梯队,,东部赛区,16.0,0.9375,1.0,7140.3125,2.25,3150.0,175.0,1400.0,373.75,4958.125,强火力、基地保持好
东北大学,TDT,全国赛,第一梯队,,北部赛区,18.0,0.8333333333333334,0.875,8212.611111111111,3.1666666666666665,4433.333333333333,638.8888888888889,5111.111111111111,368.8888888888889,4553.333333333333,强火力、飞镖收益高
西安交通大学,笃行,全国赛,第五梯队,,北部赛区,11.0,0.8181818181818182,0.8,5736.272727272727,4.363636363636363,6109.090909090909,113.63636363636364,909.0909090909091,631.5454545454545,4625.0,强火力、工程/科技核心强
南京理工大学,Alliance,全国赛,,,东部赛区,11.0,0.8181818181818182,0.8,3505.2727272727275,2.8181818181818183,3945.4545454545455,36.36363636363637,290.90909090909093,56.54545454545455,4917.727272727273,低易伤暴露、基地保持好
五邑大学,IMCA,全国赛,第二梯队,,南部赛区,15.0,0.8,0.8571428571428571,6878.4,2.4,3360.0,53.333333333333336,426.6666666666667,292.1333333333333,4220.733333333334,强火力
同济大学,SuperPower,全国赛,,,北部赛区,10.0,0.8,0.8,6613.1,4.7,6580.0,0.0,0.0,699.8,4760.0,强火力、工程/科技核心强
华南农业大学,Taurus,全国赛,第一梯队,,南部赛区,20.0,0.8,0.875,5364.85,3.5,4900.0,291.25,2330.0,623.0,4735.65,工程/科技核心强、飞镖收益高
深圳大学,RobotPilots,全国赛,,,南部赛区,13.0,0.7692307692307693,0.8333333333333334,5611.538461538462,2.0,2800.0,336.53846153846155,2692.3076923076924,24.46153846153846,4819.076923076923,强火力、飞镖收益高、低易伤暴露、基地保持好
山东科技大学,SmartRobot,全国赛,第二梯队,,东部赛区,17.0,0.7647058823529411,0.8571428571428571,5514.941176470588,2.235294117647059,3129.4117647058824,404.4117647058824,3235.294117647059,591.5294117647059,4796.823529411765,强火力、飞镖收益高
北京理工大学,追梦,全国赛,,,北部赛区,12.0,0.75,0.8,4709.666666666667,2.8333333333333335,3966.666666666667,0.0,0.0,602.0833333333334,4825.833333333333,基地保持好
