学校名,队伍名称,手册参赛类别,火力标准分,装配标准分,飞镖标准分,综合收益指数
东北大学,TDT,全国赛,100.0,67.37588652482269,100.0,89.12529550827423
华南农业大学,Taurus,全国赛,65.32453476022648,74.46808510638297,45.58695652173913,61.79319212944953
浙江大学,Hello World,全国赛,63.55545671629675,46.54255319148936,73.3695652173913,61.15585837505913
同济大学,SuperPower,全国赛,80.52372029466876,100.0,0.0,60.17457343155625
西安交通大学,笃行,全国赛,69.84712474102098,92.84332688588006,17.786561264822133,60.15900429724106
山东科技大学,SmartRobot,全国赛,67.15210426814492,47.559449311639554,63.29923273657288,59.336928772119116
哈尔滨工业大学,I Hiter,全国赛,52.60028856124293,87.13272543059776,36.52173913043479,58.75158437409183
广东工业大学,DynamicX,复活赛,56.91186319143322,47.87234042553191,62.60869565217391,55.79763308971301
深圳大学,RobotPilots,全国赛,68.32831100387095,42.5531914893617,52.675585284280935,54.5190292591712
中国石油大学（华东）,RPS,全国赛,86.94326814452027,47.87234042553191,27.391304347826086,54.06897097262609
哈尔滨工业大学（威海）,HERO,全国赛,70.3940610114719,67.88247213779128,23.664596273291927,53.98037647418503
大连理工大学,凌BUG,全国赛,51.09063296961989,46.54255319148936,61.63043478260869,53.08787364790598
广州城市理工学院,野狼,全国赛,63.45058751107714,41.48936170212766,42.26086956521739,49.066939592807394
武汉工程大学,Nautilus,全国赛,56.04997733837527,89.83451536643025,0.0,48.62816423493518
五邑大学,IMCA,全国赛,83.75411798927124,51.06382978723404,8.347826086956523,47.72192462115393
仲恺农业工程学院,奇点,全国赛,67.0158360786595,74.46808510638297,0.0,47.16130706168082
南方科技大学,ARTINX,复活赛,50.141755316402914,71.66853303471444,18.53546910755149,46.78191915288961
华中科技大学,狼牙,复活赛,41.27885008441334,66.8693009118541,31.304347826086953,46.48416627411814
复旦大学,星云EGA,全国赛,63.206952164672614,71.33917396745932,3.6828644501278776,46.0763301940866
华东理工大学,起源,全国赛,66.09815735753487,49.09983633387888,22.5752508361204,45.92441484251139
山东理工大学,齐奇,复活赛,51.58923845401162,75.09386733416771,9.207161125319692,45.29675563783301
东莞理工学院,ACE,全国赛,66.85228494979081,50.29013539651839,14.94071146245059,44.02771060291993
南华大学,MA,复活赛,51.3004354663506,63.82978723404255,6.590389016018307,40.573537238803816
应急管理大学,风暴,复活赛,60.177485458388134,56.23100303951367,2.236024844720497,39.548171114207435
北京理工大学,追梦,全国赛,57.34676344646107,60.28368794326241,0.0,39.210150463241156
电子科技大学中山学院,RoboBraver,全国赛,41.14965986748543,37.643207855973806,33.7123745819398,37.50174743513301
哈尔滨工业大学（深圳）,南工骁鹰,全国赛,57.962077293052005,53.90070921985816,0.0,37.28759550430339
华南理工大学,华南虎,全国赛,57.810660235195435,31.289111389236545,20.255754475703323,36.45184203337843
太原科技大学,NewMaker,复活赛,47.86608670946445,50.82742316784869,10.434782608695652,36.37609749533627
南京理工大学,Alliance,全国赛,42.68158664581511,59.96131528046422,5.691699604743084,36.11153384367414
厦门大学嘉庚学院,TCR,复活赛,56.18844480892686,42.5531914893617,4.816053511705685,34.51922993666475
沈阳理工大学,Ambition,复活赛,55.27796999592927,35.04380475594493,12.89002557544757,34.40393344244059
合肥工业大学（宣城校区）,WDR,全国赛,54.165477213228975,45.744680851063826,3.1304347826086953,34.346864282300494
上海交通大学,交龙,全国赛,47.33186273635582,54.15860735009671,0.0,33.83015669548418
桂林电子科技大学,Evolution,复活赛,48.66833607965431,26.282853566958696,23.9386189258312,32.96326952414807
中国科学技术大学,RoboWalker,复活赛,47.43548982152214,47.46317512274959,2.4080267558528425,32.43556390004152
长安大学,VGD,全国赛,39.20373138871789,40.42553191489361,15.652173913043477,31.760479072218327
江南大学霞客湾校区,SHARK,复活赛,49.07319269918795,41.540020263424516,4.472049689440994,31.695087550684487
西安电子科技大学,IRobot,复活赛,56.612745355667826,31.09656301145663,6.381270903010034,31.363526423378165
西北工业大学,WMJ,全国赛,52.296458505067214,33.43465045592705,4.472049689440994,30.067719550145085
深圳技术大学,悍匠,复活赛,41.47523794705973,18.439716312056735,14.608695652173909,24.841216637096792
中国矿业大学,CUBOT,复活赛,36.399811942338,14.627659574468085,7.33695652173913,19.454809346181737
南京航空航天大学金城学院,Born of Fire,复活赛,45.54377752372706,2.8368794326241127,0.0,16.126885652117057
北京理工大学（珠海）,毅恒,全国赛,38.57076176882437,7.092198581560282,0.0,15.22098678346155
