赛区,场次号,红方学校,蓝方学校,局数,红胜局,蓝胜局,胜方学校,场总伤害,平均时长,代表局号,代表局game_id,代表局总伤害,热力图,轨迹图
北部赛区,90,东北大学,哈尔滨工业大学,4,3,1,东北大学,53245.0,404.75,4,1780391866389,15574.0,match_01_heatmap_东北大学_vs_哈尔滨工业大学.png,match_01_paths_round4_东北大学_vs_哈尔滨工业大学.png
南部赛区,87,广州城市理工学院,东莞理工学院,4,3,1,广州城市理工学院,41777.0,420.0,1,1778998192727,12318.0,match_02_heatmap_广州城市理工学院_vs_东莞理工学院.png,match_02_paths_round1_广州城市理工学院_vs_东莞理工学院.png
南部赛区,88,五邑大学,华南农业大学,3,0,3,华南农业大学,39762.0,420.0,2,1779002815710,14165.0,match_03_heatmap_五邑大学_vs_华南农业大学.png,match_03_paths_round2_五邑大学_vs_华南农业大学.png
东部赛区,87,合肥工业大学（宣城校区）,浙江大学,4,3,1,合肥工业大学（宣城校区）,37471.0,420.0,1,1779689998185,10607.0,match_04_heatmap_合肥工业大学_宣城校区_vs_浙江大学.png,match_04_paths_round1_合肥工业大学_宣城校区_vs_浙江大学.png
东部赛区,88,山东科技大学,中国石油大学（华东）,4,1,3,中国石油大学（华东）,36619.0,420.0,1,1779693823256,10446.0,match_05_heatmap_山东科技大学_vs_中国石油大学_华东.png,match_05_paths_round1_山东科技大学_vs_中国石油大学_华东.png
北部赛区,89,哈尔滨工业大学（威海）,西北工业大学,3,3,0,哈尔滨工业大学（威海）,36128.0,420.0,3,1780386397433,13142.0,match_06_heatmap_哈尔滨工业大学_威海_vs_西北工业大学.png,match_06_paths_round3_哈尔滨工业大学_威海_vs_西北工业大学.png
北部赛区,78,复旦大学,哈尔滨工业大学,3,1,2,哈尔滨工业大学,33672.0,420.0,2,1780323038454,12857.0,match_07_heatmap_复旦大学_vs_哈尔滨工业大学.png,match_07_paths_round2_复旦大学_vs_哈尔滨工业大学.png
南部赛区,76,东莞理工学院,华南理工大学,3,2,1,东莞理工学院,31024.0,420.0,2,1778937468211,12653.0,match_08_heatmap_东莞理工学院_vs_华南理工大学.png,match_08_paths_round2_东莞理工学院_vs_华南理工大学.png
北部赛区,84,西北工业大学,哈尔滨工业大学,3,1,2,哈尔滨工业大学,29790.0,420.0,1,1780371297834,10453.0,match_09_heatmap_西北工业大学_vs_哈尔滨工业大学.png,match_09_paths_round1_西北工业大学_vs_哈尔滨工业大学.png
北部赛区,75,同济大学,东北大学,2,0,2,东北大学,29343.0,420.0,2,1780315632017,14870.0,match_10_heatmap_同济大学_vs_东北大学.png,match_10_paths_round2_同济大学_vs_东北大学.png
东部赛区,73,哈尔滨工业大学（深圳）,中国科学技术大学,3,2,1,哈尔滨工业大学（深圳）,26370.0,420.0,2,1779615925143,10136.0,match_11_heatmap_哈尔滨工业大学_深圳_vs_中国科学技术大学.png,match_11_paths_round2_哈尔滨工业大学_深圳_vs_中国科学技术大学.png
东部赛区,78,中国石油大学（华东）,哈尔滨工业大学（深圳）,2,2,0,中国石油大学（华东）,23448.0,420.0,1,1779629878921,12035.0,match_12_heatmap_中国石油大学_华东_vs_哈尔滨工业大学_深圳.png,match_12_paths_round1_中国石油大学_华东_vs_哈尔滨工业大学_深圳.png
