学校名,队伍类别,局数,胜局,平均装配次数,总装配次数,平均首次装配时间,L1,L2,L3,平均金币,平均剩余金币,平均造成伤害,胜局率
同济大学,全国赛,6,4,4.666666666666667,28.0,92.66666666666667,6.0,7.0,15.0,4163.333333333333,1309.6666666666667,6808.0,0.6666666666666666
西安交通大学,全国赛,7,5,4.428571428571429,31.0,90.28571428571429,7.0,7.0,17.0,3941.4285714285716,666.4285714285714,5274.857142857143,0.7142857142857143
武汉工程大学,全国赛,9,5,4.111111111111111,37.0,59.666666666666664,9.0,26.0,2.0,3819.4444444444443,1042.0,4927.777777777777,0.5555555555555556
哈尔滨工业大学,全国赛,12,5,3.8333333333333335,46.0,86.0,11.0,17.0,18.0,3672.5,1365.4166666666667,4475.833333333333,0.4166666666666667
南京理工大学,全国赛,5,3,3.6,18.0,99.0,4.0,10.0,4.0,3276.0,884.8,3779.8,0.6
仲恺农业工程学院,全国赛,10,6,3.5,35.0,99.3,10.0,13.0,12.0,3479.0,878.4,5494.7,0.6
华南农业大学,全国赛,13,11,3.4615384615384617,45.0,107.91666666666667,12.0,12.0,21.0,3552.3076923076924,911.1538461538462,5682.0,0.8461538461538461
哈尔滨工业大学（威海）,全国赛,15,8,3.3333333333333335,50.0,82.8,16.0,19.0,15.0,3838.6666666666665,955.1333333333333,5905.266666666666,0.5333333333333333
山东理工大学,复活赛,10,3,3.3,33.0,120.33333333333333,9.0,9.0,15.0,3249.5,844.9,4202.6,0.3
华中科技大学,复活赛,10,3,3.2,32.0,100.5,10.0,13.0,9.0,3489.0,778.7,3444.0,0.3
复旦大学,全国赛,8,3,3.0,24.0,78.14285714285714,7.0,7.0,10.0,3400.0,808.625,4459.5,0.375
上海交通大学,全国赛,7,4,3.0,21.0,79.42857142857143,7.0,9.0,5.0,3325.0,1075.142857142857,4107.142857142857,0.5714285714285714
北京理工大学,全国赛,7,5,3.0,21.0,112.14285714285714,7.0,7.0,7.0,3414.285714285714,626.1428571428571,4546.857142857143,0.7142857142857143
东北大学,全国赛,14,11,2.9285714285714284,41.0,98.63636363636364,11.0,14.0,16.0,2855.0,831.8571428571429,8126.071428571428,0.7857142857142857
南方科技大学,复活赛,7,1,2.857142857142857,20.0,85.0,6.0,6.0,8.0,3474.285714285714,675.0,3655.4285714285716,0.14285714285714285
南华大学,复活赛,13,4,2.6923076923076925,35.0,101.33333333333333,9.0,11.0,15.0,2840.0,714.6923076923077,4341.307692307692,0.3076923076923077
大连理工大学,全国赛,8,4,2.5,20.0,106.71428571428571,7.0,6.0,7.0,2908.75,941.625,4633.875,0.5
应急管理大学,复活赛,8,2,2.5,20.0,89.42857142857143,7.0,7.0,6.0,3120.0,721.125,5013.5,0.25
华东理工大学,全国赛,9,4,2.4444444444444446,22.0,74.77777777777777,9.0,6.0,7.0,3135.0,922.2222222222222,5601.888888888889,0.4444444444444444
浙江大学,全国赛,12,7,2.3333333333333335,28.0,119.27272727272727,11.0,16.0,1.0,2922.5,865.5833333333334,5268.916666666667,0.5833333333333334
五邑大学,全国赛,13,10,2.3076923076923075,30.0,96.4,10.0,10.0,10.0,2963.4615384615386,470.7692307692308,6703.384615384615,0.7692307692307693
东莞理工学院,全国赛,18,8,2.2777777777777777,41.0,64.3529411764706,17.0,12.0,12.0,3086.3888888888887,694.8333333333334,5374.444444444444,0.4444444444444444
哈尔滨工业大学（深圳）,全国赛,11,5,2.272727272727273,25.0,158.33333333333334,9.0,11.0,5.0,2452.2727272727275,759.9090909090909,4129.636363636364,0.45454545454545453
合肥工业大学（宣城校区）,全国赛,16,9,2.25,36.0,112.64285714285714,14.0,14.0,8.0,2844.375,730.75,4404.4375,0.5625
广东工业大学,复活赛,13,5,2.1538461538461537,28.0,147.0909090909091,11.0,15.0,2.0,2563.846153846154,938.2307692307693,4506.076923076923,0.38461538461538464
山东科技大学,全国赛,15,11,2.1333333333333333,32.0,132.6,10.0,16.0,6.0,2377.0,543.5333333333333,5298.2,0.7333333333333333
太原科技大学,复活赛,8,2,2.125,17.0,120.85714285714286,7.0,5.0,5.0,2653.125,671.125,3712.25,0.25
深圳大学,全国赛,11,8,2.0,22.0,126.44444444444444,9.0,9.0,4.0,2715.909090909091,578.0909090909091,5809.0,0.7272727272727273
中国石油大学（华东）,全国赛,10,9,1.9,19.0,124.0,7.0,6.0,6.0,2558.5,613.7,6704.1,0.9
广州城市理工学院,全国赛,18,11,1.8888888888888888,34.0,96.9375,16.0,14.0,4.0,2717.5,597.8333333333334,5283.611111111111,0.6111111111111112
厦门大学嘉庚学院,复活赛,9,2,1.8888888888888888,17.0,138.5,8.0,8.0,1.0,2644.4444444444443,596.1111111111111,4370.777777777777,0.2222222222222222
电子科技大学中山学院,全国赛,9,4,1.8888888888888888,17.0,105.5,6.0,6.0,5.0,2563.8888888888887,840.6666666666666,3643.8888888888887,0.4444444444444444
西北工业大学,全国赛,21,11,1.5714285714285714,33.0,140.46666666666667,15.0,12.0,6.0,2264.285714285714,680.4761904761905,4294.9047619047615,0.5238095238095238
江南大学霞客湾校区,复活赛,13,5,1.5384615384615385,20.0,186.11111111111111,9.0,9.0,2.0,1942.6923076923076,392.0,4060.6923076923076,0.38461538461538464
华南理工大学,全国赛,11,5,1.4545454545454546,16.0,117.44444444444444,9.0,6.0,1.0,2436.3636363636365,751.4545454545455,4488.727272727273,0.45454545454545453
西安电子科技大学,复活赛,9,5,1.4444444444444444,13.0,188.875,8.0,4.0,1.0,2022.2222222222222,534.4444444444445,4064.6666666666665,0.5555555555555556
中国科学技术大学,复活赛,3,1,1.3333333333333333,4.0,140.5,2.0,2.0,0.0,2058.3333333333335,706.0,4089.3333333333335,0.3333333333333333
