学校名,队伍类别,事件类型,增益类型,机器人类型,触发次数,覆盖局数,覆盖场数,学校触发次数,学校覆盖局数,学校覆盖场数,类型覆盖局数,类型覆盖场数,统计范围局数,统计范围场数,平均首次触发时间,最早触发时间
中国石油大学（华东）,全国赛,增益,飞坡,步兵3,48,16,7,123,16,7,254,154,613,266,73.4,16
中国石油大学（华东）,全国赛,增益,飞坡,步兵4,48,14,7,123,16,7,254,154,613,266,171.8,50
中国石油大学（华东）,全国赛,增益,飞坡,英雄,27,14,7,123,16,7,254,154,613,266,118.2,18
华南理工大学,全国赛,增益,过中央高地,步兵3,30,15,7,86,17,7,373,190,613,266,127.4,11
华南理工大学,全国赛,增益,过中央高地,步兵4,21,12,6,86,17,7,373,190,613,266,167.6,10
华南理工大学,全国赛,增益,过中央高地,工程,3,2,1,86,17,7,373,190,613,266,56,53
华南理工大学,全国赛,增益,过中央高地,英雄,32,14,7,86,17,7,373,190,613,266,177.9,44
东北大学,全国赛,增益,飞坡,步兵3,20,15,8,78,18,8,254,154,613,266,177.6,33
东北大学,全国赛,增益,飞坡,步兵4,32,14,8,78,18,8,254,154,613,266,138.9,41
东北大学,全国赛,增益,飞坡,英雄,26,12,6,78,18,8,254,154,613,266,201.4,47
深圳大学,全国赛,增益,过中央高地,步兵3,15,9,5,75,13,6,373,190,613,266,33.6,11
深圳大学,全国赛,增益,过中央高地,步兵4,31,11,5,75,13,6,373,190,613,266,62.7,12
深圳大学,全国赛,增益,过中央高地,哨兵,13,7,5,75,13,6,373,190,613,266,136.9,10
深圳大学,全国赛,增益,过中央高地,英雄,16,8,5,75,13,6,373,190,613,266,184.3,147
北京理工大学,全国赛,增益,过中央高地,步兵3,13,7,4,64,12,5,373,190,613,266,11.9,8
北京理工大学,全国赛,增益,过中央高地,步兵4,30,12,5,64,12,5,373,190,613,266,46.7,8
北京理工大学,全国赛,增益,过中央高地,工程,16,12,5,64,12,5,373,190,613,266,82.1,74
北京理工大学,全国赛,增益,过中央高地,英雄,5,4,3,64,12,5,373,190,613,266,272.5,248
南方科技大学,复活赛,增益,过中央高地,步兵3,17,12,7,58,18,7,373,190,613,266,63.2,12
南方科技大学,复活赛,增益,过中央高地,步兵4,8,6,2,58,18,7,373,190,613,266,142.7,24
南方科技大学,复活赛,增益,过中央高地,工程,33,17,7,58,18,7,373,190,613,266,64.4,53
上海交通大学,全国赛,增益,飞坡,步兵3,22,10,5,51,11,5,254,154,613,266,163.2,66
上海交通大学,全国赛,增益,飞坡,步兵4,20,9,5,51,11,5,254,154,613,266,167.6,12
上海交通大学,全国赛,增益,飞坡,英雄,9,6,4,51,11,5,254,154,613,266,266.3,211
上海交通大学,全国赛,增益,台阶跨越,步兵3,2,2,1,43,11,5,430,230,613,266,174,132
上海交通大学,全国赛,增益,台阶跨越,步兵4,24,7,4,43,11,5,430,230,613,266,50.4,6
上海交通大学,全国赛,增益,台阶跨越,工程,8,2,1,43,11,5,430,230,613,266,56,42
上海交通大学,全国赛,增益,台阶跨越,哨兵,2,2,1,43,11,5,430,230,613,266,14,12
上海交通大学,全国赛,增益,台阶跨越,英雄,7,7,4,43,11,5,430,230,613,266,250.3,110
五邑大学,全国赛,增益,过中央高地,步兵3,32,13,6,43,15,7,373,190,613,266,55.2,7
五邑大学,全国赛,增益,过中央高地,工程,11,10,5,43,15,7,373,190,613,266,101.5,58
