match_id,赛区,场次号,红方学校,蓝方学校,代表局号,hit_x,hit_y,source_x,source_y,source_robot_id,source_robot_no,source_robot_type,source_side,source_school,target_robot_id,target_robot_no,target_robot_type,target_side,target_school,damage_type,hit_count,damage_sum,avg_distance
1,北部赛区,90,东北大学,哈尔滨工业大学,3,0.000,0.000,8.589,11.488,4,4,步兵4,红,东北大学,111,11,前哨站,蓝,哈尔滨工业大学,17mm,121,1894.0,14.34
1,北部赛区,90,东北大学,哈尔滨工业大学,3,0.000,0.000,13.364,2.236,106,6,空中,蓝,哈尔滨工业大学,11,11,前哨站,红,东北大学,17mm,69,1115.0,13.55
1,北部赛区,90,东北大学,哈尔滨工业大学,1,0.000,0.000,10.116,11.760,4,4,步兵4,红,东北大学,111,11,前哨站,蓝,哈尔滨工业大学,17mm,54,818.0,15.51
1,北部赛区,90,东北大学,哈尔滨工业大学,2,0.000,0.000,12.438,2.203,106,6,空中,蓝,哈尔滨工业大学,11,11,前哨站,红,东北大学,17mm,42,765.0,12.63
1,北部赛区,90,东北大学,哈尔滨工业大学,4,16.162,14.493,18.414,11.646,103,3,步兵3,蓝,哈尔滨工业大学,7,7,哨兵,红,东北大学,17mm,37,860.0,3.64
1,北部赛区,90,东北大学,哈尔滨工业大学,2,0.000,0.000,13.219,8.133,3,3,步兵3,红,东北大学,111,11,前哨站,蓝,哈尔滨工业大学,17mm,35,525.0,15.52
1,北部赛区,90,东北大学,哈尔滨工业大学,2,20.148,9.273,20.792,10.984,3,3,步兵3,红,东北大学,103,3,步兵3,蓝,哈尔滨工业大学,17mm,27,558.0,2.05
1,北部赛区,90,东北大学,哈尔滨工业大学,3,19.886,9.677,15.112,13.281,6,6,空中,红,东北大学,107,7,哨兵,蓝,哈尔滨工业大学,17mm,25,580.0,5.99
1,北部赛区,90,东北大学,哈尔滨工业大学,1,18.653,11.026,15.223,13.429,6,6,空中,红,东北大学,103,3,步兵3,蓝,哈尔滨工业大学,17mm,24,559.0,4.20
1,北部赛区,90,东北大学,哈尔滨工业大学,1,0.000,0.000,14.924,2.066,106,6,空中,蓝,哈尔滨工业大学,11,11,前哨站,红,东北大学,17mm,23,460.0,15.07
1,北部赛区,90,东北大学,哈尔滨工业大学,1,0.000,0.000,16.639,1.782,104,4,步兵4,蓝,哈尔滨工业大学,11,11,前哨站,红,东北大学,17mm,22,380.0,16.73
1,北部赛区,90,东北大学,哈尔滨工业大学,2,19.731,6.154,19.409,8.352,107,7,哨兵,蓝,哈尔滨工业大学,3,3,步兵3,红,东北大学,17mm,20,382.0,2.22
1,北部赛区,90,东北大学,哈尔滨工业大学,4,19.203,11.627,20.503,9.620,107,7,哨兵,蓝,哈尔滨工业大学,3,3,步兵3,红,东北大学,17mm,20,331.0,2.39
1,北部赛区,90,东北大学,哈尔滨工业大学,2,16.757,10.109,18.263,11.465,103,3,步兵3,蓝,哈尔滨工业大学,3,3,步兵3,红,东北大学,17mm,18,318.0,2.03
1,北部赛区,90,东北大学,哈尔滨工业大学,2,23.646,8.355,24.407,10.442,107,7,哨兵,蓝,哈尔滨工业大学,4,4,步兵4,红,东北大学,17mm,18,374.0,2.27
1,北部赛区,90,东北大学,哈尔滨工业大学,1,17.425,5.741,13.779,4.402,4,4,步兵4,红,东北大学,103,3,步兵3,蓝,哈尔滨工业大学,17mm,17,267.0,3.89
1,北部赛区,90,东北大学,哈尔滨工业大学,1,19.800,7.197,14.747,13.160,6,6,空中,红,东北大学,101,1,英雄,蓝,哈尔滨工业大学,17mm,17,275.0,7.83
1,北部赛区,90,东北大学,哈尔滨工业大学,2,17.117,13.777,19.655,9.278,107,7,哨兵,蓝,哈尔滨工业大学,3,3,步兵3,红,东北大学,17mm,17,309.0,5.20
1,北部赛区,90,东北大学,哈尔滨工业大学,2,15.511,11.230,19.603,9.370,107,7,哨兵,蓝,哈尔滨工业大学,4,4,步兵4,红,东北大学,17mm,17,324.0,4.51
1,北部赛区,90,东北大学,哈尔滨工业大学,4,17.601,2.708,19.155,0.971,4,4,步兵4,红,东北大学,103,3,步兵3,蓝,哈尔滨工业大学,17mm,16,298.0,2.33
1,北部赛区,90,东北大学,哈尔滨工业大学,1,16.602,7.187,19.423,9.787,107,7,哨兵,蓝,哈尔滨工业大学,3,3,步兵3,红,东北大学,17mm,15,319.0,3.84
1,北部赛区,90,东北大学,哈尔滨工业大学,4,19.900,5.358,21.436,5.169,107,7,哨兵,蓝,哈尔滨工业大学,7,7,哨兵,红,东北大学,17mm,15,366.0,1.55
1,北部赛区,90,东北大学,哈尔滨工业大学,4,19.677,11.290,16.014,10.630,3,3,步兵3,红,东北大学,101,1,英雄,蓝,哈尔滨工业大学,17mm,14,200.0,3.72
1,北部赛区,90,东北大学,哈尔滨工业大学,2,19.416,7.168,14.822,13.205,6,6,空中,红,东北大学,104,4,步兵4,蓝,哈尔滨工业大学,17mm,14,267.0,7.59
1,北部赛区,90,东北大学,哈尔滨工业大学,3,25.534,9.320,20.651,9.446,7,7,哨兵,红,东北大学,101,1,英雄,蓝,哈尔滨工业大学,17mm,14,140.0,4.90
1,北部赛区,90,东北大学,哈尔滨工业大学,3,25.298,6.145,21.405,9.371,7,7,哨兵,红,东北大学,104,4,步兵4,蓝,哈尔滨工业大学,17mm,14,250.0,5.06
1,北部赛区,90,东北大学,哈尔滨工业大学,1,0.000,0.000,17.315,2.268,104,4,步兵4,蓝,哈尔滨工业大学,11,11,前哨站,红,东北大学,17mm,14,230.0,17.47
1,北部赛区,90,东北大学,哈尔滨工业大学,4,15.711,4.344,11.606,1.835,104,4,步兵4,蓝,哈尔滨工业大学,3,3,步兵3,红,东北大学,17mm,14,281.0,4.81
1,北部赛区,90,东北大学,哈尔滨工业大学,4,20.013,12.230,19.517,11.274,3,3,步兵3,红,东北大学,104,4,步兵4,蓝,哈尔滨工业大学,17mm,13,264.0,1.08
1,北部赛区,90,东北大学,哈尔滨工业大学,1,19.812,9.450,14.581,12.362,6,6,空中,红,东北大学,107,7,哨兵,蓝,哈尔滨工业大学,17mm,12,268.0,6.00
1,北部赛区,90,东北大学,哈尔滨工业大学,4,23.321,8.523,15.202,13.437,6,6,空中,红,东北大学,107,7,哨兵,蓝,哈尔滨工业大学,17mm,12,290.0,9.50
1,北部赛区,90,东北大学,哈尔滨工业大学,3,21.742,9.233,21.294,7.794,103,3,步兵3,蓝,哈尔滨工业大学,7,7,哨兵,红,东北大学,17mm,12,290.0,1.53
1,北部赛区,90,东北大学,哈尔滨工业大学,1,19.603,5.773,20.766,6.716,107,7,哨兵,蓝,哈尔滨工业大学,3,3,步兵3,红,东北大学,17mm,12,180.0,1.53
1,北部赛区,90,东北大学,哈尔滨工业大学,1,21.051,9.123,21.662,7.485,3,3,步兵3,红,东北大学,101,1,英雄,蓝,哈尔滨工业大学,17mm,11,165.0,1.75
1,北部赛区,90,东北大学,哈尔滨工业大学,2,21.022,9.777,16.910,10.396,3,3,步兵3,红,东北大学,101,1,英雄,蓝,哈尔滨工业大学,17mm,11,200.0,4.16
1,北部赛区,90,东北大学,哈尔滨工业大学,2,18.372,3.015,19.686,6.038,3,3,步兵3,红,东北大学,101,1,英雄,蓝,哈尔滨工业大学,17mm,11,151.0,3.30
1,北部赛区,90,东北大学,哈尔滨工业大学,2,21.466,9.611,15.193,13.221,6,6,空中,红,东北大学,107,7,哨兵,蓝,哈尔滨工业大学,17mm,11,220.0,7.24
1,北部赛区,90,东北大学,哈尔滨工业大学,4,19.275,5.553,14.773,11.751,6,6,空中,红,东北大学,107,7,哨兵,蓝,哈尔滨工业大学,17mm,11,260.0,7.67
1,北部赛区,90,东北大学,哈尔滨工业大学,4,19.642,7.076,14.874,11.636,6,6,空中,红,东北大学,104,4,步兵4,蓝,哈尔滨工业大学,17mm,11,220.0,6.60
1,北部赛区,90,东北大学,哈尔滨工业大学,3,11.323,8.483,19.682,9.902,107,7,哨兵,蓝,哈尔滨工业大学,3,3,步兵3,红,东北大学,17mm,11,173.0,8.48
1,北部赛区,90,东北大学,哈尔滨工业大学,3,24.901,6.777,27.239,7.201,3,3,步兵3,红,东北大学,101,1,英雄,蓝,哈尔滨工业大学,17mm,10,100.0,2.38
1,北部赛区,90,东北大学,哈尔滨工业大学,2,15.141,1.262,17.725,3.425,4,4,步兵4,红,东北大学,101,1,英雄,蓝,哈尔滨工业大学,17mm,10,143.0,3.37
1,北部赛区,90,东北大学,哈尔滨工业大学,3,20.677,10.138,15.513,11.330,4,4,步兵4,红,东北大学,101,1,英雄,蓝,哈尔滨工业大学,17mm,10,198.0,5.31
1,北部赛区,90,东北大学,哈尔滨工业大学,1,16.063,6.321,13.634,13.228,6,6,空中,红,东北大学,104,4,步兵4,蓝,哈尔滨工业大学,17mm,10,202.0,7.32
1,北部赛区,90,东北大学,哈尔滨工业大学,2,19.016,6.271,14.057,12.408,6,6,空中,红,东北大学,107,7,哨兵,蓝,哈尔滨工业大学,17mm,10,222.0,7.89
1,北部赛区,90,东北大学,哈尔滨工业大学,1,19.063,4.966,20.133,9.321,7,7,哨兵,红,东北大学,101,1,英雄,蓝,哈尔滨工业大学,17mm,10,200.0,4.49
1,北部赛区,90,东北大学,哈尔滨工业大学,1,16.788,12.597,18.374,11.758,103,3,步兵3,蓝,哈尔滨工业大学,4,4,步兵4,红,东北大学,17mm,10,193.0,1.82
1,北部赛区,90,东北大学,哈尔滨工业大学,2,15.641,5.275,18.126,4.948,103,3,步兵3,蓝,哈尔滨工业大学,4,4,步兵4,红,东北大学,17mm,10,190.0,2.51
1,北部赛区,90,东北大学,哈尔滨工业大学,4,19.966,2.232,20.156,1.296,3,3,步兵3,红,东北大学,104,4,步兵4,蓝,哈尔滨工业大学,17mm,9,164.0,0.97
1,北部赛区,90,东北大学,哈尔滨工业大学,4,14.241,10.876,11.783,10.146,4,4,步兵4,红,东北大学,104,4,步兵4,蓝,哈尔滨工业大学,17mm,9,207.0,2.56
1,北部赛区,90,东北大学,哈尔滨工业大学,2,21.849,8.684,15.155,13.216,6,6,空中,红,东北大学,107,7,哨兵,蓝,哈尔滨工业大学,17mm,9,170.0,8.09
1,北部赛区,90,东北大学,哈尔滨工业大学,2,20.319,12.163,14.721,12.749,6,6,空中,红,东北大学,104,4,步兵4,蓝,哈尔滨工业大学,17mm,9,154.0,5.63
1,北部赛区,90,东北大学,哈尔滨工业大学,1,19.045,5.985,20.780,6.988,107,7,哨兵,蓝,哈尔滨工业大学,4,4,步兵4,红,东北大学,17mm,9,171.0,2.00
1,北部赛区,90,东北大学,哈尔滨工业大学,3,16.911,12.844,17.749,14.114,3,3,步兵3,红,东北大学,102,2,工程,蓝,哈尔滨工业大学,17mm,8,105.0,1.52
1,北部赛区,90,东北大学,哈尔滨工业大学,3,26.518,6.480,27.983,6.610,3,3,步兵3,红,东北大学,102,2,工程,蓝,哈尔滨工业大学,17mm,8,80.0,1.48
1,北部赛区,90,东北大学,哈尔滨工业大学,4,15.411,1.396,17.624,4.219,3,3,步兵3,红,东北大学,101,1,英雄,蓝,哈尔滨工业大学,17mm,8,160.0,3.59
1,北部赛区,90,东北大学,哈尔滨工业大学,4,20.846,3.117,15.070,4.620,3,3,步兵3,红,东北大学,101,1,英雄,蓝,哈尔滨工业大学,17mm,8,184.0,5.97
1,北部赛区,90,东北大学,哈尔滨工业大学,3,17.729,3.225,16.353,0.540,4,4,步兵4,红,东北大学,107,7,哨兵,蓝,哈尔滨工业大学,17mm,8,158.0,3.03
1,北部赛区,90,东北大学,哈尔滨工业大学,2,18.645,3.253,19.647,2.061,4,4,步兵4,红,东北大学,104,4,步兵4,蓝,哈尔滨工业大学,17mm,8,112.0,1.56
1,北部赛区,90,东北大学,哈尔滨工业大学,3,23.896,6.526,21.257,6.330,4,4,步兵4,红,东北大学,101,1,英雄,蓝,哈尔滨工业大学,17mm,8,80.0,2.65
1,北部赛区,90,东北大学,哈尔滨工业大学,3,20.290,10.988,15.225,13.452,6,6,空中,红,东北大学,102,2,工程,蓝,哈尔滨工业大学,17mm,8,90.0,5.63
1,北部赛区,90,东北大学,哈尔滨工业大学,2,18.025,4.222,16.963,2.394,7,7,哨兵,红,东北大学,103,3,步兵3,蓝,哈尔滨工业大学,17mm,8,120.0,2.11
1,北部赛区,90,东北大学,哈尔滨工业大学,2,20.103,6.262,19.530,5.012,7,7,哨兵,红,东北大学,104,4,步兵4,蓝,哈尔滨工业大学,17mm,8,152.0,1.38
1,北部赛区,90,东北大学,哈尔滨工业大学,3,18.068,11.875,19.000,10.632,7,7,哨兵,红,东北大学,103,3,步兵3,蓝,哈尔滨工业大学,17mm,8,152.0,1.55
1,北部赛区,90,东北大学,哈尔滨工业大学,3,16.358,6.738,20.359,6.777,103,3,步兵3,蓝,哈尔滨工业大学,1,1,英雄,红,东北大学,17mm,8,152.0,4.00
1,北部赛区,90,东北大学,哈尔滨工业大学,3,16.383,13.095,19.725,9.470,107,7,哨兵,蓝,哈尔滨工业大学,3,3,步兵3,红,东北大学,17mm,8,120.0,4.93
1,北部赛区,90,东北大学,哈尔滨工业大学,4,21.773,7.739,20.584,8.913,107,7,哨兵,蓝,哈尔滨工业大学,4,4,步兵4,红,东北大学,17mm,8,276.0,1.67
1,北部赛区,90,东北大学,哈尔滨工业大学,1,19.991,7.848,16.609,9.182,3,3,步兵3,红,东北大学,104,4,步兵4,蓝,哈尔滨工业大学,17mm,7,133.0,3.64
1,北部赛区,90,东北大学,哈尔滨工业大学,2,19.629,9.228,16.746,13.431,3,3,步兵3,红,东北大学,107,7,哨兵,蓝,哈尔滨工业大学,17mm,7,140.0,5.10
1,北部赛区,90,东北大学,哈尔滨工业大学,3,24.862,6.800,27.396,6.835,3,3,步兵3,红,东北大学,101,1,英雄,蓝,哈尔滨工业大学,17mm,7,70.0,2.53
1,北部赛区,90,东北大学,哈尔滨工业大学,4,20.591,8.898,20.171,11.053,3,3,步兵3,红,东北大学,107,7,哨兵,蓝,哈尔滨工业大学,17mm,7,140.0,2.20
1,北部赛区,90,东北大学,哈尔滨工业大学,4,25.270,12.954,26.373,9.689,3,3,步兵3,红,东北大学,101,1,英雄,蓝,哈尔滨工业大学,17mm,7,105.0,3.45
1,北部赛区,90,东北大学,哈尔滨工业大学,3,26.012,9.677,21.438,7.410,4,4,步兵4,红,东北大学,101,1,英雄,蓝,哈尔滨工业大学,17mm,7,200.0,5.10
1,北部赛区,90,东北大学,哈尔滨工业大学,1,15.270,10.669,13.724,13.255,6,6,空中,红,东北大学,103,3,步兵3,蓝,哈尔滨工业大学,17mm,7,105.0,3.01
1,北部赛区,90,东北大学,哈尔滨工业大学,1,26.914,5.696,25.216,5.998,103,3,步兵3,蓝,哈尔滨工业大学,1,1,英雄,红,东北大学,17mm,7,93.0,1.72
1,北部赛区,90,东北大学,哈尔滨工业大学,1,19.173,9.647,22.526,10.024,107,7,哨兵,蓝,哈尔滨工业大学,7,7,哨兵,红,东北大学,17mm,7,175.0,3.39
1,北部赛区,90,东北大学,哈尔滨工业大学,1,18.829,11.178,22.280,10.040,107,7,哨兵,蓝,哈尔滨工业大学,7,7,哨兵,红,东北大学,17mm,7,170.0,3.63
1,北部赛区,90,东北大学,哈尔滨工业大学,4,17.478,6.619,20.348,5.435,107,7,哨兵,蓝,哈尔滨工业大学,3,3,步兵3,红,东北大学,17mm,7,98.0,3.10
1,北部赛区,90,东北大学,哈尔滨工业大学,1,14.983,6.566,9.677,4.190,3,3,步兵3,红,东北大学,103,3,步兵3,蓝,哈尔滨工业大学,17mm,6,90.0,5.81
1,北部赛区,90,东北大学,哈尔滨工业大学,2,21.943,7.758,22.016,9.764,3,3,步兵3,红,东北大学,103,3,步兵3,蓝,哈尔滨工业大学,17mm,6,60.0,2.01
1,北部赛区,90,东北大学,哈尔滨工业大学,4,21.359,10.595,19.470,11.482,3,3,步兵3,红,东北大学,104,4,步兵4,蓝,哈尔滨工业大学,17mm,6,109.0,2.10
1,北部赛区,90,东北大学,哈尔滨工业大学,1,16.631,2.380,19.302,5.545,4,4,步兵4,红,东北大学,104,4,步兵4,蓝,哈尔滨工业大学,17mm,6,135.0,4.14
1,北部赛区,90,东北大学,哈尔滨工业大学,1,19.002,6.028,18.829,3.946,4,4,步兵4,红,东北大学,107,7,哨兵,蓝,哈尔滨工业大学,17mm,6,120.0,2.09
1,北部赛区,90,东北大学,哈尔滨工业大学,1,20.343,5.165,18.091,3.230,4,4,步兵4,红,东北大学,107,7,哨兵,蓝,哈尔滨工业大学,17mm,6,113.0,2.97
1,北部赛区,90,东北大学,哈尔滨工业大学,2,0.000,0.000,2.340,1.705,4,4,步兵4,红,东北大学,111,11,前哨站,蓝,哈尔滨工业大学,17mm,6,120.0,2.90
1,北部赛区,90,东北大学,哈尔滨工业大学,2,17.177,3.720,16.091,0.394,4,4,步兵4,红,东北大学,103,3,步兵3,蓝,哈尔滨工业大学,17mm,6,114.0,3.50
1,北部赛区,90,东北大学,哈尔滨工业大学,2,11.440,4.672,8.442,5.091,4,4,步兵4,红,东北大学,102,2,工程,蓝,哈尔滨工业大学,17mm,6,114.0,3.03
1,北部赛区,90,东北大学,哈尔滨工业大学,1,15.879,9.203,13.724,13.255,6,6,空中,红,东北大学,103,3,步兵3,蓝,哈尔滨工业大学,17mm,6,90.0,4.59
1,北部赛区,90,东北大学,哈尔滨工业大学,2,18.988,5.819,13.980,12.500,6,6,空中,红,东北大学,107,7,哨兵,蓝,哈尔滨工业大学,17mm,6,138.0,8.35
1,北部赛区,90,东北大学,哈尔滨工业大学,2,19.425,8.423,19.809,7.755,7,7,哨兵,红,东北大学,107,7,哨兵,蓝,哈尔滨工业大学,17mm,6,120.0,0.77
1,北部赛区,90,东北大学,哈尔滨工业大学,3,25.464,10.374,20.890,9.235,7,7,哨兵,红,东北大学,101,1,英雄,蓝,哈尔滨工业大学,17mm,6,60.0,4.71
1,北部赛区,90,东北大学,哈尔滨工业大学,3,18.969,9.302,21.937,9.123,7,7,哨兵,红,东北大学,107,7,哨兵,蓝,哈尔滨工业大学,17mm,6,150.0,2.97
1,北部赛区,90,东北大学,哈尔滨工业大学,1,11.572,6.186,16.226,8.016,103,3,步兵3,蓝,哈尔滨工业大学,1,1,英雄,红,东北大学,17mm,6,90.0,5.00
1,北部赛区,90,东北大学,哈尔滨工业大学,1,27.142,5.339,25.216,5.998,103,3,步兵3,蓝,哈尔滨工业大学,1,1,英雄,红,东北大学,17mm,6,102.0,2.04
1,北部赛区,90,东北大学,哈尔滨工业大学,2,16.621,13.824,18.275,11.570,103,3,步兵3,蓝,哈尔滨工业大学,7,7,哨兵,红,东北大学,17mm,6,145.0,2.80
1,北部赛区,90,东北大学,哈尔滨工业大学,1,11.684,4.389,17.067,3.496,104,4,步兵4,蓝,哈尔滨工业大学,3,3,步兵3,红,东北大学,17mm,6,90.0,5.46
1,北部赛区,90,东北大学,哈尔滨工业大学,1,19.239,6.752,20.691,7.019,107,7,哨兵,蓝,哈尔滨工业大学,4,4,步兵4,红,东北大学,17mm,6,109.0,1.72
1,北部赛区,90,东北大学,哈尔滨工业大学,2,19.281,6.019,19.440,8.539,107,7,哨兵,蓝,哈尔滨工业大学,7,7,哨兵,红,东北大学,17mm,6,120.0,2.53
