学校名,队伍类别,局数,胜局,平均造成伤害,平均装配,平均飞镖伤害,飞镖总伤害,飞镖命中数,命中基地,命中前哨,平均易伤秒,平均末基地,平均金币,胜局率,飞镖场均命中
东北大学,全国赛,14,11,8126.071428571428,2.9285714285714284,614.2857142857143,8600.0,32.0,32.0,0.0,383.0,4425.714285714285,2855.0,0.7857142857142857,2.2857142857142856
大连理工大学,全国赛,8,4,4633.875,2.5,487.5,3900.0,13.0,13.0,0.0,389.75,3868.75,2908.75,0.5,1.625
浙江大学,全国赛,12,7,5268.916666666667,2.3333333333333335,468.75,5625.0,9.0,9.0,0.0,252.33333333333334,4718.333333333333,2922.5,0.5833333333333334,0.75
山东科技大学,全国赛,15,11,5298.2,2.1333333333333333,416.6666666666667,6250.0,10.0,10.0,0.0,670.4,4769.733333333334,2377.0,0.7333333333333333,0.6666666666666666
广东工业大学,复活赛,13,5,4506.076923076923,2.1538461538461537,400.0,5200.0,26.0,26.0,0.0,327.53846153846155,4204.461538461538,2563.846153846154,0.38461538461538464,2.0
深圳大学,全国赛,11,8,5809.0,2.0,397.72727272727275,4375.0,7.0,7.0,0.0,28.90909090909091,4786.181818181818,2715.909090909091,0.7272727272727273,0.6363636363636364
哈尔滨工业大学,全国赛,12,5,4475.833333333333,3.8333333333333335,341.6666666666667,4100.0,18.0,18.0,0.0,753.0,3718.1666666666665,3672.5,0.4166666666666667,1.5
华南农业大学,全国赛,13,11,5682.0,3.4615384615384617,338.46153846153845,4400.0,22.0,22.0,0.0,722.3076923076923,4593.307692307692,3552.3076923076924,0.8461538461538461,1.6923076923076923
电子科技大学中山学院,全国赛,9,4,3643.8888888888887,1.8888888888888888,311.1111111111111,2800.0,14.0,14.0,0.0,228.77777777777777,4343.555555555556,2563.8888888888887,0.4444444444444444,1.5555555555555556
广州城市理工学院,全国赛,18,11,5283.611111111111,1.8888888888888888,277.77777777777777,5000.0,25.0,25.0,0.0,493.77777777777777,3871.777777777778,2717.5,0.6111111111111112,1.3888888888888888
华中科技大学,复活赛,10,3,3444.0,3.2,240.0,2400.0,12.0,12.0,0.0,556.7,4385.4,3489.0,0.3,1.2
华东理工大学,全国赛,9,4,5601.888888888889,2.4444444444444446,208.33333333333334,1875.0,3.0,3.0,0.0,459.22222222222223,4631.666666666667,3135.0,0.4444444444444444,0.3333333333333333
西安交通大学,全国赛,7,5,5274.857142857143,4.428571428571429,178.57142857142858,1250.0,2.0,2.0,0.0,989.8571428571429,4417.857142857143,3941.4285714285716,0.7142857142857143,0.2857142857142857
哈尔滨工业大学（威海）,全国赛,15,8,5905.266666666666,3.3333333333333335,171.66666666666666,2575.0,6.0,6.0,0.0,730.2666666666667,3946.133333333333,3838.6666666666665,0.5333333333333333,0.4
桂林电子科技大学,复活赛,12,3,3985.0833333333335,1.1666666666666667,150.0,1800.0,9.0,9.0,0.0,484.25,4351.833333333333,2193.75,0.25,0.75
深圳技术大学,复活赛,10,4,3516.2,1.0,140.0,1400.0,6.0,6.0,0.0,67.1,3753.0,2155.0,0.4,0.6
中国石油大学（华东）,全国赛,10,9,6704.1,1.9,140.0,1400.0,7.0,7.0,0.0,555.0,4933.0,2558.5,0.9,0.7
长安大学,全国赛,12,5,3144.6666666666665,1.0833333333333333,133.33333333333334,1600.0,8.0,8.0,0.0,345.8333333333333,4947.916666666667,1587.5,0.4166666666666667,0.6666666666666666
东莞理工学院,全国赛,18,8,5374.444444444444,2.2777777777777777,116.66666666666667,2100.0,7.0,7.0,0.0,604.5555555555555,3727.1666666666665,3086.3888888888887,0.4444444444444444,0.3888888888888889
南方科技大学,复活赛,7,1,3655.4285714285716,2.857142857142857,107.14285714285714,750.0,1.0,0.0,1.0,745.4285714285714,4857.142857142857,3474.285714285714,0.14285714285714285,0.14285714285714285
太原科技大学,复活赛,8,2,3712.25,2.125,100.0,800.0,4.0,4.0,0.0,1409.25,4345.875,2653.125,0.25,0.5
中国矿业大学,复活赛,9,2,2794.3333333333335,0.4444444444444444,83.33333333333333,750.0,1.0,0.0,1.0,683.2222222222222,3721.1111111111113,1225.0,0.2222222222222222,0.1111111111111111
南京理工大学,全国赛,5,3,3779.8,3.6,80.0,400.0,2.0,2.0,0.0,0.2,4819.0,3276.0,0.6,0.4
华南理工大学,全国赛,11,5,4488.727272727273,1.4545454545454546,72.72727272727273,800.0,4.0,4.0,0.0,615.6363636363636,4724.545454545455,2436.3636363636365,0.45454545454545453,0.36363636363636365
南华大学,复活赛,13,4,4341.307692307692,2.6923076923076925,61.53846153846154,800.0,3.0,3.0,0.0,884.0769230769231,4279.307692307692,2840.0,0.3076923076923077,0.23076923076923078
五邑大学,全国赛,13,10,6703.384615384615,2.3076923076923075,61.53846153846154,800.0,4.0,4.0,0.0,225.46153846153845,4100.846153846154,2963.4615384615386,0.7692307692307693,0.3076923076923077
西安电子科技大学,复活赛,9,5,4064.6666666666665,1.4444444444444444,58.888888888888886,530.0,1.0,0.0,1.0,314.3333333333333,4757.222222222223,2022.2222222222222,0.5555555555555556,0.1111111111111111
