学校名,机器人类型,区域,样本数,总样本,占比
上海交通大学,哨兵,红侧-下路,299,972,0.3076131687242798
上海交通大学,工程,中场-中路,429,971,0.4418125643666323
上海交通大学,步兵3,中场-上路,285,958,0.2974947807933194
上海交通大学,步兵4,中场-下路,227,971,0.2337796086508753
上海交通大学,英雄,中场-上路,241,966,0.2494824016563147
东北大学,哨兵,红侧-中路,765,1924,0.3976091476091476
东北大学,工程,中场-中路,1150,1787,0.6435366536094013
东北大学,步兵3,中场-下路,374,1917,0.1950965049556599
东北大学,步兵4,中场-下路,334,1914,0.1745036572622779
东北大学,英雄,中场-上路,594,1911,0.3108320251177394
东莞理工学院,哨兵,中场-下路,1341,2480,0.540725806451613
东莞理工学院,工程,中场-中路,1148,2436,0.4712643678160919
东莞理工学院,步兵3,蓝侧-下路,750,2474,0.3031527890056588
东莞理工学院,步兵4,中场-上路,456,2303,0.1980026052974381
东莞理工学院,英雄,蓝侧-下路,1003,2476,0.4050888529886914
中国石油大学（华东）,哨兵,蓝侧-上路,430,1381,0.3113685734974656
中国石油大学（华东）,工程,中场-中路,486,1111,0.4374437443744374
中国石油大学（华东）,步兵3,蓝侧-中路,291,1375,0.2116363636363636
中国石油大学（华东）,步兵4,红侧-中路,343,1386,0.2474747474747475
中国石油大学（华东）,英雄,蓝侧-上路,268,1375,0.1949090909090909
中国矿业大学,哨兵,中场-下路,354,1236,0.2864077669902912
中国矿业大学,工程,蓝侧-上路,597,1249,0.477982385908727
中国矿业大学,步兵3,蓝侧-上路,376,1228,0.3061889250814332
中国矿业大学,步兵4,中场-下路,237,1209,0.1960297766749379
中国矿业大学,英雄,蓝侧-上路,433,1242,0.3486312399355877
中国科学技术大学,哨兵,中场-下路,285,417,0.6834532374100719
中国科学技术大学,工程,中场-中路,265,417,0.6354916067146283
中国科学技术大学,步兵3,中场-中路,147,399,0.3684210526315789
中国科学技术大学,步兵4,蓝侧-上路,179,415,0.4313253012048192
中国科学技术大学,英雄,蓝侧-上路,149,416,0.3581730769230769
五邑大学,哨兵,中场-上路,1060,1718,0.6169965075669382
五邑大学,工程,中场-中路,855,1763,0.4849688031764038
五邑大学,步兵3,蓝侧-中路,372,1763,0.2110039705048213
五邑大学,步兵4,中场-上路,541,1763,0.3068633011911514
五邑大学,英雄,红侧-上路,757,1764,0.4291383219954648
仲恺农业工程学院,哨兵,中场-上路,641,1390,0.4611510791366906
仲恺农业工程学院,工程,中场-中路,681,1379,0.4938361131254532
仲恺农业工程学院,步兵3,红侧-中路,297,1390,0.2136690647482014
仲恺农业工程学院,步兵4,中场-下路,350,1385,0.2527075812274368
仲恺农业工程学院,英雄,中场-上路,261,1251,0.2086330935251798
北京理工大学,哨兵,中场-下路,635,972,0.6532921810699589
北京理工大学,工程,中场-中路,481,972,0.4948559670781893
北京理工大学,步兵3,红侧-中路,206,972,0.2119341563786008
北京理工大学,步兵4,中场-下路,208,973,0.2137718396711202
北京理工大学,英雄,中场-下路,389,959,0.4056308654848801
北京理工大学（珠海）,哨兵,红侧-中路,278,556,0.5
北京理工大学（珠海）,工程,红侧-下路,378,809,0.4672435105067985
北京理工大学（珠海）,步兵3,中场-上路,268,831,0.322503008423586
北京理工大学（珠海）,步兵4,中场-下路,179,832,0.2151442307692307
北京理工大学（珠海）,英雄,红侧-中路,386,825,0.4678787878787879
华东理工大学,哨兵,红侧-中路,435,1112,0.3911870503597122
华东理工大学,工程,中场-中路,510,1188,0.4292929292929293
华东理工大学,步兵3,中场-上路,244,1246,0.1958266452648475
华东理工大学,步兵4,中场-上路,263,1249,0.210568454763811
华东理工大学,英雄,中场-上路,507,1241,0.4085414987912973
华中科技大学,哨兵,红侧-中路,432,1390,0.3107913669064748
华中科技大学,工程,中场-中路,689,1387,0.4967555875991348
华中科技大学,步兵3,红侧-中路,328,1388,0.2363112391930835
华中科技大学,步兵4,红侧-下路,305,1335,0.2284644194756554
华中科技大学,英雄,中场-上路,414,1387,0.2984859408795962
华南农业大学,哨兵,蓝侧-上路,513,1584,0.3238636363636363
华南农业大学,工程,中场-中路,773,1784,0.4332959641255605
华南农业大学,步兵3,中场-下路,410,1361,0.3012490815576781
华南农业大学,步兵4,蓝侧-中路,366,1782,0.2053872053872054
华南农业大学,英雄,蓝侧-下路,833,1785,0.4666666666666667
华南理工大学,哨兵,中场-下路,399,1529,0.2609548724656638
华南理工大学,工程,中场-中路,771,1524,0.5059055118110236
华南理工大学,步兵3,蓝侧-上路,383,1508,0.2539787798408488
华南理工大学,步兵4,中场-上路,300,1526,0.1965923984272608
华南理工大学,英雄,中场-下路,350,1516,0.2308707124010554
南京理工大学,哨兵,蓝侧-中路,133,417,0.3189448441247002
南京理工大学,工程,中场-中路,252,552,0.4565217391304347
南京理工大学,步兵3,中场-下路,192,551,0.3484573502722323
南京理工大学,步兵4,中场-下路,207,692,0.2991329479768786
南京理工大学,英雄,蓝侧-下路,200,694,0.2881844380403458
南京航空航天大学金城学院,哨兵,蓝侧-上路,503,1390,0.3618705035971223
南京航空航天大学金城学院,工程,中场-中路,512,1306,0.3920367534456355
南京航空航天大学金城学院,步兵3,中场-上路,632,1387,0.4556596971881759
南京航空航天大学金城学院,步兵4,中场-下路,350,1375,0.2545454545454545
南京航空航天大学金城学院,英雄,中场-下路,343,1363,0.2516507703595011
南华大学,哨兵,红侧-中路,494,1773,0.278623801466441
南华大学,工程,中场-中路,649,1792,0.3621651785714285
南华大学,步兵3,红侧-下路,365,1805,0.2022160664819944
南华大学,步兵4,中场-下路,529,1807,0.2927504150525733
南华大学,英雄,中场-上路,449,1801,0.249305941143809
南方科技大学,哨兵,蓝侧-上路,552,973,0.5673175745118191
南方科技大学,工程,中场-中路,479,804,0.595771144278607
南方科技大学,步兵3,蓝侧-中路,305,973,0.3134635149023638
南方科技大学,步兵4,中场-上路,162,828,0.1956521739130435
南方科技大学,英雄,蓝侧-中路,322,967,0.3329886246122027
厦门大学嘉庚学院,哨兵,红侧-中路,495,1250,0.396
厦门大学嘉庚学院,工程,中场-中路,448,1250,0.3584
厦门大学嘉庚学院,步兵3,中场-上路,243,1228,0.1978827361563518
厦门大学嘉庚学院,步兵4,中场-下路,251,1249,0.2009607686148919
厦门大学嘉庚学院,英雄,中场-上路,341,1250,0.2728
合肥工业大学（宣城校区）,哨兵,中场-上路,744,2085,0.3568345323741007
合肥工业大学（宣城校区）,工程,中场-中路,967,2061,0.4691897137311984
合肥工业大学（宣城校区）,步兵3,中场-上路,493,2154,0.2288765088207985
合肥工业大学（宣城校区）,步兵4,中场-上路,494,2079,0.2376142376142376
合肥工业大学（宣城校区）,英雄,中场-上路,954,2219,0.4299233889139252
同济大学,哨兵,中场-下路,334,834,0.4004796163069544
同济大学,工程,中场-中路,473,828,0.571256038647343
同济大学,步兵3,蓝侧-上路,166,834,0.1990407673860911
同济大学,步兵4,蓝侧-中路,126,805,0.1565217391304348
同济大学,英雄,蓝侧-下路,390,834,0.4676258992805755
哈尔滨工业大学,哨兵,蓝侧-中路,803,1632,0.4920343137254901
哈尔滨工业大学,工程,中场-中路,688,1647,0.4177292046144505
哈尔滨工业大学,步兵3,中场-下路,347,1645,0.2109422492401216
哈尔滨工业大学,步兵4,蓝侧-中路,672,1631,0.4120171673819742
哈尔滨工业大学,英雄,蓝侧-中路,520,1646,0.3159173754556501
哈尔滨工业大学（威海）,哨兵,红侧-中路,664,2084,0.3186180422264875
哈尔滨工业大学（威海）,工程,中场-中路,888,2021,0.4393864423552697
哈尔滨工业大学（威海）,步兵3,中场-下路,460,2059,0.2234094220495386
哈尔滨工业大学（威海）,步兵4,红侧-中路,457,2076,0.2201348747591522
哈尔滨工业大学（威海）,英雄,红侧-上路,953,1968,0.4842479674796748
哈尔滨工业大学（深圳）,哨兵,中场-上路,377,1529,0.2465663832570307
哈尔滨工业大学（深圳）,工程,中场-中路,835,1524,0.5479002624671916
哈尔滨工业大学（深圳）,步兵3,红侧-中路,270,1520,0.1776315789473684
哈尔滨工业大学（深圳）,步兵4,红侧-中路,423,1527,0.2770137524557957
哈尔滨工业大学（深圳）,英雄,红侧-上路,545,1529,0.3564421190320471
复旦大学,哨兵,蓝侧-中路,353,973,0.3627954779033915
复旦大学,工程,中场-中路,557,1107,0.5031616982836495
复旦大学,步兵3,中场-上路,210,1103,0.1903898458748866
复旦大学,步兵4,中场-上路,444,1108,0.4007220216606498
复旦大学,英雄,中场-上路,574,1112,0.5161870503597122
大连理工大学,哨兵,蓝侧-中路,391,1112,0.3516187050359712
大连理工大学,工程,中场-中路,590,1110,0.5315315315315315
大连理工大学,步兵3,蓝侧-中路,508,831,0.6113116726835138
大连理工大学,步兵4,蓝侧-中路,330,1112,0.2967625899280575
大连理工大学,英雄,蓝侧-中路,431,1111,0.3879387938793879
太原科技大学,哨兵,中场-上路,414,1112,0.3723021582733813
太原科技大学,工程,中场-中路,492,1101,0.4468664850136239
太原科技大学,步兵3,中场-上路,322,1109,0.290351668169522
太原科技大学,步兵4,中场-上路,488,1100,0.4436363636363636
太原科技大学,英雄,红侧-上路,274,832,0.3293269230769231
山东理工大学,哨兵,中场-下路,495,1390,0.356115107913669
山东理工大学,工程,中场-中路,677,1249,0.5420336269015212
