学校名,机器人类型,区域,样本数,总样本,占比
上海交通大学,哨兵,中场-上路,36,972,0.037037037037037035
上海交通大学,哨兵,中场-下路,291,972,0.2993827160493827
上海交通大学,哨兵,中场-中路,33,972,0.033950617283950615
上海交通大学,哨兵,红侧-上路,39,972,0.040123456790123455
上海交通大学,哨兵,红侧-下路,299,972,0.30761316872427985
上海交通大学,哨兵,红侧-中路,271,972,0.2788065843621399
上海交通大学,哨兵,蓝侧-下路,1,972,0.00102880658436214
上海交通大学,哨兵,蓝侧-中路,2,972,0.00205761316872428
上海交通大学,工程,中场-上路,19,971,0.01956745623069001
上海交通大学,工程,中场-下路,42,971,0.04325437693099897
上海交通大学,工程,中场-中路,429,971,0.44181256436663235
上海交通大学,工程,红侧-下路,349,971,0.35942327497425336
上海交通大学,工程,红侧-中路,22,971,0.02265705458290422
上海交通大学,工程,蓝侧-上路,107,971,0.1101956745623069
上海交通大学,工程,蓝侧-中路,3,971,0.003089598352214212
上海交通大学,步兵3,中场-上路,285,958,0.2974947807933194
上海交通大学,步兵3,中场-下路,101,958,0.10542797494780794
上海交通大学,步兵3,中场-中路,175,958,0.1826722338204593
上海交通大学,步兵3,红侧-上路,41,958,0.04279749478079332
上海交通大学,步兵3,红侧-下路,48,958,0.05010438413361169
上海交通大学,步兵3,红侧-中路,77,958,0.08037578288100208
上海交通大学,步兵3,蓝侧-上路,50,958,0.05219206680584551
上海交通大学,步兵3,蓝侧-下路,39,958,0.0407098121085595
上海交通大学,步兵3,蓝侧-中路,142,958,0.14822546972860126
上海交通大学,步兵4,中场-上路,139,971,0.1431513903192585
上海交通大学,步兵4,中场-下路,227,971,0.23377960865087538
上海交通大学,步兵4,中场-中路,70,971,0.07209062821833162
上海交通大学,步兵4,红侧-上路,8,971,0.008238928939237899
上海交通大学,步兵4,红侧-下路,122,971,0.12564366632337795
上海交通大学,步兵4,红侧-中路,55,971,0.05664263645726056
上海交通大学,步兵4,蓝侧-上路,66,971,0.06797116374871266
上海交通大学,步兵4,蓝侧-下路,147,971,0.1513903192584964
上海交通大学,步兵4,蓝侧-中路,137,971,0.141091658084449
上海交通大学,空中,中场-上路,509,834,0.6103117505995204
上海交通大学,空中,中场-下路,133,834,0.15947242206235013
上海交通大学,空中,红侧-上路,47,834,0.05635491606714628
上海交通大学,空中,蓝侧-下路,145,834,0.17386091127098321
上海交通大学,英雄,中场-上路,241,966,0.2494824016563147
上海交通大学,英雄,中场-下路,138,966,0.14285714285714285
上海交通大学,英雄,中场-中路,61,966,0.06314699792960662
上海交通大学,英雄,红侧-上路,7,966,0.007246376811594203
上海交通大学,英雄,红侧-下路,184,966,0.19047619047619047
上海交通大学,英雄,红侧-中路,70,966,0.07246376811594203
上海交通大学,英雄,蓝侧-上路,129,966,0.13354037267080746
上海交通大学,英雄,蓝侧-下路,12,966,0.012422360248447204
上海交通大学,英雄,蓝侧-中路,124,966,0.12836438923395446
东北大学,哨兵,中场-上路,239,1924,0.12422037422037423
东北大学,哨兵,中场-下路,306,1924,0.15904365904365905
东北大学,哨兵,中场-中路,1,1924,0.0005197505197505198
东北大学,哨兵,红侧-上路,46,1924,0.02390852390852391
东北大学,哨兵,红侧-下路,171,1924,0.08887733887733888
东北大学,哨兵,红侧-中路,765,1924,0.3976091476091476
东北大学,哨兵,蓝侧-上路,97,1924,0.05041580041580042
东北大学,哨兵,蓝侧-下路,32,1924,0.016632016632016633
东北大学,哨兵,蓝侧-中路,267,1924,0.13877338877338877
东北大学,工程,中场-上路,173,1787,0.09681029658645775
东北大学,工程,中场-下路,69,1787,0.03861219921656407
东北大学,工程,中场-中路,1150,1787,0.6435366536094013
东北大学,工程,红侧-下路,179,1787,0.10016787912702854
东北大学,工程,红侧-中路,167,1787,0.09345271404588697
东北大学,工程,蓝侧-上路,33,1787,0.01846670397313934
东北大学,工程,蓝侧-中路,16,1787,0.008953553441522105
东北大学,步兵3,中场-上路,239,1917,0.12467396974439228
东北大学,步兵3,中场-下路,374,1917,0.1950965049556599
东北大学,步兵3,中场-中路,257,1917,0.13406364110589464
东北大学,步兵3,红侧-上路,139,1917,0.07250912884715702
东北大学,步兵3,红侧-下路,231,1917,0.12050078247261346
东北大学,步兵3,红侧-中路,188,1917,0.0980699008868023
东北大学,步兵3,蓝侧-上路,139,1917,0.07250912884715702
东北大学,步兵3,蓝侧-下路,99,1917,0.051643192488262914
东北大学,步兵3,蓝侧-中路,251,1917,0.1309337506520605
东北大学,步兵4,中场-上路,285,1914,0.14890282131661442
东北大学,步兵4,中场-下路,334,1914,0.17450365726227796
东北大学,步兵4,中场-中路,166,1914,0.08672936259143156
东北大学,步兵4,红侧-上路,119,1914,0.062173458725182866
东北大学,步兵4,红侧-下路,251,1914,0.13113897596656218
东北大学,步兵4,红侧-中路,252,1914,0.13166144200626959
东北大学,步兵4,蓝侧-上路,118,1914,0.06165099268547544
东北大学,步兵4,蓝侧-下路,90,1914,0.047021943573667714
东北大学,步兵4,蓝侧-中路,299,1914,0.1562173458725183
东北大学,空中,中场-上路,1500,1926,0.778816199376947
东北大学,空中,中场-下路,239,1926,0.1240913811007269
东北大学,空中,红侧-上路,148,1926,0.07684319833852545
东北大学,空中,蓝侧-下路,39,1926,0.020249221183800622
东北大学,英雄,中场-上路,594,1911,0.3108320251177394
东北大学,英雄,中场-下路,282,1911,0.14756671899529042
东北大学,英雄,中场-中路,145,1911,0.07587650444793302
东北大学,英雄,红侧-上路,32,1911,0.01674515960230246
东北大学,英雄,红侧-下路,217,1911,0.11355311355311355
东北大学,英雄,红侧-中路,215,1911,0.11250654107796965
东北大学,英雄,蓝侧-上路,117,1911,0.061224489795918366
东北大学,英雄,蓝侧-下路,62,1911,0.032443746729461015
东北大学,英雄,蓝侧-中路,247,1911,0.1292517006802721
东莞理工学院,哨兵,中场-上路,475,2480,0.19153225806451613
东莞理工学院,哨兵,中场-下路,1341,2480,0.540725806451613
东莞理工学院,哨兵,中场-中路,47,2480,0.018951612903225806
东莞理工学院,哨兵,红侧-上路,145,2480,0.05846774193548387
东莞理工学院,哨兵,红侧-下路,161,2480,0.06491935483870968
东莞理工学院,哨兵,红侧-中路,25,2480,0.010080645161290322
