赛区,场次号,阵营,学校名,对手学校,胜局,局数,造成伤害,受伤害,装配次数,飞镖伤害,易伤机器人秒,末基地均值,末前哨均值,末金币均值
东部赛区,7,红,华东理工大学,中国矿业大学,2,2,12916.0,2747.0,6.0,625.0,808,5000.0,1065.0,3327.5
东部赛区,7,蓝,中国矿业大学,华东理工大学,0,2,2747.0,12916.0,0.0,0.0,0,3372.5,0.0,875.0
东部赛区,16,红,北京理工大学（珠海）,合肥工业大学（宣城校区）,0,2,3716.0,7417.0,2.0,0.0,0,5000.0,0.0,1700.0
东部赛区,16,蓝,合肥工业大学（宣城校区）,北京理工大学（珠海）,2,2,7417.0,3716.0,0.0,0.0,24,5000.0,145.0,900.0
东部赛区,18,红,华东理工大学,中国石油大学（华东）,0,2,8924.0,13805.0,5.0,0.0,898,4280.0,0.0,3195.0
东部赛区,18,蓝,中国石油大学（华东）,华东理工大学,2,2,13805.0,8924.0,5.0,400.0,1544,5000.0,360.0,3100.0
东部赛区,25,红,江南大学霞客湾校区,南方科技大学,2,2,9945.0,7231.0,4.0,0.0,267,5000.0,205.0,2187.5
东部赛区,25,蓝,南方科技大学,江南大学霞客湾校区,0,2,7231.0,9945.0,6.0,0.0,0,5000.0,0.0,3875.0
东部赛区,26,红,山东科技大学,哈尔滨工业大学（深圳）,2,3,13110.0,12310.0,8.0,1250.0,3525,4775.0,0.0,3086.6666666666665
东部赛区,26,蓝,哈尔滨工业大学（深圳）,山东科技大学,1,3,12310.0,13110.0,5.0,0.0,1747,4633.333333333333,0.0,1558.3333333333333
东部赛区,38,红,南京航空航天大学金城学院,中国矿业大学,2,2,9763.0,6703.0,0.0,0.0,0,5000.0,0.0,800.0
东部赛区,38,蓝,中国矿业大学,南京航空航天大学金城学院,0,2,6703.0,9763.0,1.0,750.0,3233,3845.0,0.0,1475.0
东部赛区,41,红,合肥工业大学（宣城校区）,山东科技大学,0,2,7133.0,9646.0,5.0,0.0,881,4762.5,0.0,3200.0
东部赛区,41,蓝,山东科技大学,合肥工业大学（宣城校区）,2,2,9646.0,7133.0,4.0,625.0,0,5000.0,0.0,2095.0
东部赛区,42,红,江南大学霞客湾校区,浙江大学,0,2,7953.0,8549.0,6.0,0.0,1028,4525.0,0.0,2827.5
东部赛区,42,蓝,浙江大学,江南大学霞客湾校区,2,2,8549.0,7953.0,5.0,1250.0,0,5000.0,0.0,3002.5
东部赛区,51,红,太原科技大学,南京航空航天大学金城学院,1,3,12357.0,13251.0,9.0,0.0,4843,5000.0,0.0,2875.0
东部赛区,51,蓝,南京航空航天大学金城学院,太原科技大学,2,3,13251.0,12357.0,0.0,0.0,0,5000.0,0.0,800.0
东部赛区,55,红,江南大学霞客湾校区,合肥工业大学（宣城校区）,1,3,11818.0,14660.0,5.0,0.0,0,5000.0,0.0,2466.6666666666665
东部赛区,55,蓝,合肥工业大学（宣城校区）,江南大学霞客湾校区,2,3,14660.0,11818.0,7.0,0.0,0,4916.666666666667,0.0,3191.6666666666665
东部赛区,57,红,哈尔滨工业大学（深圳）,南方科技大学,2,3,13547.0,11076.0,7.0,0.0,1246,4231.333333333333,0.0,2908.3333333333335
东部赛区,57,蓝,南方科技大学,哈尔滨工业大学（深圳）,1,3,11076.0,13547.0,7.0,750.0,4822,4700.0,0.0,2975.0
东部赛区,67,红,山东科技大学,太原科技大学,2,2,11714.0,7916.0,7.0,625.0,423,4925.0,0.0,3077.5
东部赛区,67,蓝,太原科技大学,山东科技大学,0,2,7916.0,11714.0,6.0,0.0,1707,3498.5,0.0,3525.0
东部赛区,68,红,北京理工大学（珠海）,南京航空航天大学金城学院,2,2,6007.0,5330.0,0.0,0.0,2810,5000.0,0.0,875.0
东部赛区,68,蓝,南京航空航天大学金城学院,北京理工大学（珠海）,0,2,5330.0,6007.0,0.0,0.0,0,5000.0,0.0,800.0
东部赛区,69,红,中国矿业大学,浙江大学,0,2,4279.0,15026.0,0.0,0.0,2902,2027.5,0.0,875.0
东部赛区,69,蓝,浙江大学,中国矿业大学,2,2,15026.0,4279.0,8.0,1875.0,0,5000.0,750.0,3662.5
东部赛区,70,红,华东理工大学,江南大学霞客湾校区,2,3,16130.0,11873.0,9.0,1250.0,0,4900.0,0.0,3256.6666666666665
东部赛区,70,蓝,江南大学霞客湾校区,华东理工大学,1,3,11873.0,16130.0,2.0,600.0,3224,4350.0,0.0,1150.0
东部赛区,72,红,南京理工大学,南方科技大学,2,2,7820.0,7281.0,12.0,400.0,1,5000.0,0.0,4115.0
东部赛区,72,蓝,南方科技大学,南京理工大学,0,2,7281.0,7820.0,7.0,0.0,396,4950.0,0.0,3822.5
东部赛区,73,红,哈尔滨工业大学（深圳）,中国科学技术大学,2,3,14102.0,12268.0,11.0,0.0,3270,5000.0,0.0,3391.6666666666665
东部赛区,73,蓝,中国科学技术大学,哈尔滨工业大学（深圳）,1,3,12268.0,14102.0,4.0,0.0,4639,4246.666666666667,0.0,2058.3333333333335
东部赛区,75,红,山东科技大学,北京理工大学（珠海）,2,2,16813.0,7211.0,7.0,1250.0,1974,5000.0,0.0,3012.5
东部赛区,75,蓝,北京理工大学（珠海）,山东科技大学,0,2,7211.0,16813.0,1.0,0.0,932,1660.0,0.0,1400.0
东部赛区,76,红,华东理工大学,浙江大学,0,2,12447.0,12690.0,2.0,0.0,2427,4212.5,0.0,2700.0
东部赛区,76,蓝,浙江大学,华东理工大学,2,2,12690.0,12447.0,5.0,1875.0,0,4875.0,0.0,3252.5
东部赛区,77,红,合肥工业大学（宣城校区）,南京理工大学,2,3,13182.0,11079.0,8.0,200.0,386,4943.333333333333,0.0,3325.0
东部赛区,77,蓝,南京理工大学,合肥工业大学（宣城校区）,1,3,11079.0,13182.0,6.0,0.0,0,4698.333333333333,0.0,2716.6666666666665
东部赛区,78,红,中国石油大学（华东）,哈尔滨工业大学（深圳）,2,2,17981.0,5467.0,6.0,0.0,2552,4902.5,750.0,3500.0
东部赛区,78,蓝,哈尔滨工业大学（深圳）,中国石油大学（华东）,0,2,5467.0,17981.0,2.0,0.0,77,2180.0,0.0,1700.0
