赛区,场次号,赛程,局号,game_id,阵营,学校名,对手学校,是否胜方,时长秒,造成非判罚伤害,受非判罚伤害,发弹17,发弹42,装配次数,首次装配时间,平均装配耗时,装配L1,装配L2,装配L3,飞镖命中数,飞镖伤害,飞镖命中基地,飞镖命中前哨,小能量激活,大能量激活,易伤机器人秒,易伤行占比,末总金币,末剩余金币,末基地血量,末前哨血量,末总血量,消耗金币估计,总发弹,伤害每百发,队伍类别
东部赛区,7,【东部赛区】第7场,1,1779339732301,红,华东理工大学,中国矿业大学,1,420,5635.0,1732.0,1187,0,2.0,66.0,17.5,1.0,1.0,0.0,1.0,625.0,1.0,0.0,1.0,0.0,234,0.06980906921241051,3175.0,1633.0,5000.0,650.0,7306.0,1542.0,1187,474.726200505476,全国赛
东部赛区,7,【东部赛区】第7场,2,1779340406572,红,华东理工大学,中国矿业大学,1,420,7281.0,1015.0,1552,25,4.0,84.0,25.666666666666668,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,574,0.17124105011933174,3480.0,1908.0,5000.0,1480.0,7936.0,1572.0,1577,461.69942929613194,全国赛
东部赛区,16,【东部赛区】第16场,1,1779358048590,红,北京理工大学（珠海）,合肥工业大学（宣城校区）,0,420,1747.0,3595.0,513,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,875.0,352.0,5000.0,0.0,5865.0,523.0,516,338.5658914728682,全国赛
东部赛区,16,【东部赛区】第16场,2,1779358859920,红,北京理工大学（珠海）,合肥工业大学（宣城校区）,0,420,1969.0,3822.0,940,0,2.0,162.0,36.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2525.0,1500.0,5000.0,0.0,5500.0,1025.0,940,209.468085106383,全国赛
东部赛区,18,【东部赛区】第18场,1,1779366053174,红,华东理工大学,中国石油大学（华东）,0,420,4211.0,7064.0,750,26,1.0,85.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,898,0.2678997613365155,2525.0,385.0,5000.0,0.0,5509.0,2140.0,776,542.6546391752577,全国赛
东部赛区,18,【东部赛区】第18场,2,1779366872029,红,华东理工大学,中国石油大学（华东）,0,420,4713.0,6741.0,541,30,4.0,58.0,25.333333333333332,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,3865.0,312.0,3560.0,0.0,4425.0,3553.0,571,825.3940455341507,全国赛
东部赛区,25,【东部赛区】第25场,1,1779417187459,红,江南大学霞客湾校区,南方科技大学,1,420,4855.0,2843.0,1538,14,2.0,224.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267,0.07965393794749404,2225.0,396.0,5000.0,410.0,7025.0,1829.0,1552,312.82216494845363,复活赛
东部赛区,25,【东部赛区】第25场,2,1779419646097,红,江南大学霞客湾校区,南方科技大学,1,420,5090.0,4388.0,1248,21,2.0,169.0,27.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2150.0,482.0,5000.0,0.0,5725.0,1668.0,1269,401.10323089046494,复活赛
东部赛区,26,【东部赛区】第26场,1,1779420519460,红,山东科技大学,哈尔滨工业大学（深圳）,1,420,3302.0,2121.0,1120,43,2.0,122.0,12.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0,2975.0,1130.0,5000.0,0.0,6374.0,1845.0,1163,283.920894239037,全国赛
东部赛区,26,【东部赛区】第26场,2,1779460446142,红,山东科技大学,哈尔滨工业大学（深圳）,0,420,3684.0,5875.0,1117,29,3.0,114.0,12.75,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1702,0.5077565632458234,3185.0,394.0,5000.0,0.0,5776.0,2791.0,1146,321.4659685863874,全国赛
东部赛区,26,【东部赛区】第26场,3,1779461100692,红,山东科技大学,哈尔滨工业大学（深圳）,1,420,6124.0,4314.0,1396,18,3.0,149.0,18.333333333333332,1.0,1.0,1.0,2.0,1250.0,2.0,0.0,0.0,0.0,1823,0.5443415945058226,3100.0,625.0,4325.0,0.0,5610.0,2475.0,1414,433.09759547383305,全国赛
东部赛区,38,【东部赛区】第38场,1,1779452330931,红,南京航空航天大学金城学院,中国矿业大学,1,420,5833.0,3493.0,1063,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,800.0,115.0,5000.0,0.0,5705.0,685.0,1073,543.6160298229264,复活赛
东部赛区,38,【东部赛区】第38场,2,1779453031879,红,南京航空航天大学金城学院,中国矿业大学,1,420,3930.0,3210.0,1067,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,800.0,140.0,5000.0,0.0,5878.0,660.0,1076,365.24163568773236,复活赛
东部赛区,41,【东部赛区】第41场,1,1779496373411,红,合肥工业大学（宣城校区）,山东科技大学,0,420,3871.0,4997.0,983,22,2.0,80.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2875.0,463.0,4525.0,0.0,5542.0,2412.0,1005,385.17412935323387,全国赛
东部赛区,41,【东部赛区】第41场,2,1779497052576,红,合肥工业大学（宣城校区）,山东科技大学,0,420,3262.0,4649.0,883,42,3.0,83.0,28.666666666666668,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,881,0.26282816229116945,3525.0,287.0,5000.0,0.0,5400.0,3238.0,925,352.64864864864865,全国赛
东部赛区,42,【东部赛区】第42场,1,1779497941858,红,江南大学霞客湾校区,浙江大学,0,420,2862.0,3917.0,1066,21,2.0,174.0,49.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2100.0,547.0,4525.0,0.0,5514.0,1553.0,1087,263.29346826126954,复活赛
东部赛区,42,【东部赛区】第42场,2,1779498722309,红,江南大学霞客湾校区,浙江大学,0,420,5091.0,4632.0,1205,22,4.0,98.0,45.5,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1028,0.30668257756563244,3555.0,374.0,4525.0,0.0,5595.0,3181.0,1227,414.91442542787286,复活赛
东部赛区,51,【东部赛区】第51场,1,1779520539290,红,太原科技大学,南京航空航天大学金城学院,1,420,5329.0,4729.0,1537,5,3.0,171.0,29.666666666666668,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1627,0.485381861575179,2650.0,746.0,5000.0,0.0,5767.0,1904.0,1542,345.5901426718548,复活赛
东部赛区,51,【东部赛区】第51场,2,1779521217232,红,太原科技大学,南京航空航天大学金城学院,0,420,3742.0,4315.0,1227,0,3.0,113.0,43.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1587,0.47344868735083534,3400.0,1168.0,5000.0,0.0,6197.0,2232.0,1227,304.9714751426243,复活赛
东部赛区,51,【东部赛区】第51场,3,1779521960092,红,太原科技大学,南京航空航天大学金城学院,0,420,3286.0,4207.0,1266,12,3.0,203.0,30.333333333333332,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1629,0.48597852028639615,2575.0,501.0,5000.0,0.0,5879.0,2074.0,1278,257.1205007824726,复活赛
东部赛区,55,【东部赛区】第55场,1,1779528983756,红,江南大学霞客湾校区,合肥工业大学（宣城校区）,0,420,4592.0,6011.0,1273,20,2.0,114.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3025.0,378.0,5000.0,0.0,5429.0,2647.0,1293,355.1430781129157,复活赛
东部赛区,55,【东部赛区】第55场,2,1779529644496,红,江南大学霞客湾校区,合肥工业大学（宣城校区）,1,420,3715.0,3628.0,768,39,3.0,97.0,44.333333333333336,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3500.0,1127.0,5000.0,0.0,6368.0,2373.0,807,460.3469640644362,复活赛
东部赛区,55,【东部赛区】第55场,3,1779530437725,红,江南大学霞客湾校区,合肥工业大学（宣城校区）,0,420,3511.0,5021.0,982,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,875.0,232.0,5000.0,0.0,5890.0,643.0,988,355.3643724696356,复活赛
东部赛区,57,【东部赛区】第57场,1,1779538151452,红,哈尔滨工业大学（深圳）,南方科技大学,0,420,5106.0,4813.0,1232,19,2.0,169.0,44.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,166,0.049522673031026254,2200.0,1220.0,2694.0,0.0,3483.0,980.0,1251,408.1534772182255,全国赛
东部赛区,57,【东部赛区】第57场,2,1779538958021,红,哈尔滨工业大学（深圳）,南方科技大学,1,420,5105.0,2935.0,1033,41,3.0,138.0,23.666666666666668,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,578,0.1724343675417661,3325.0,1565.0,5000.0,0.0,6041.0,1760.0,1074,475.3258845437617,全国赛
东部赛区,57,【东部赛区】第57场,3,1779539822176,红,哈尔滨工业大学（深圳）,南方科技大学,1,420,3336.0,3328.0,1135,22,2.0,94.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,502,0.14976133651551313,3200.0,383.0,5000.0,0.0,5619.0,2817.0,1157,288.33189282627484,全国赛
东部赛区,67,【东部赛区】第67场,1,1779603144791,红,山东科技大学,太原科技大学,1,420,6555.0,3216.0,1251,48,3.0,141.0,19.5,1.0,2.0,0.0,1.0,625.0,1.0,0.0,2.0,0.0,5,0.0014916467780429594,2925.0,989.0,5000.0,0.0,6537.0,1936.0,1299,504.61893764434177,全国赛
东部赛区,67,【东部赛区】第67场,2,1779604013536,红,山东科技大学,太原科技大学,1,420,5159.0,4700.0,1345,40,4.0,132.0,9.833333333333332,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,418,0.1247016706443914,3230.0,525.0,4850.0,0.0,5309.0,2705.0,1385,372.4909747292419,全国赛
东部赛区,68,【东部赛区】第68场,1,1779605093745,红,北京理工大学（珠海）,南京航空航天大学金城学院,1,420,3617.0,3130.0,1098,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300,0.4432321854756222,875.0,155.0,5000.0,0.0,5325.0,720.0,1103,327.9238440616501,全国赛
东部赛区,68,【东部赛区】第68场,2,1779605808336,红,北京理工大学（珠海）,南京航空航天大学金城学院,1,420,2390.0,2200.0,870,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1510,0.5148312308216842,875.0,255.0,5000.0,0.0,5450.0,620.0,871,274.3972445464983,全国赛
东部赛区,69,【东部赛区】第69场,1,1779606939798,红,中国矿业大学,浙江大学,0,420,3087.0,6678.0,1230,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1450,0.43257756563245825,875.0,26.0,2265.0,0.0,2965.0,849.0,1245,247.95180722891564,复活赛
东部赛区,69,【东部赛区】第69场,2,1779607648809,红,中国矿业大学,浙江大学,0,420,1192.0,8348.0,276,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1452,0.4950562563927719,875.0,185.0,1790.0,0.0,1980.0,690.0,295,404.0677966101695,复活赛
东部赛区,70,【东部赛区】第70场,1,1779608504282,红,华东理工大学,江南大学霞客湾校区,1,420,6537.0,5041.0,1490,17,3.0,136.0,19.0,1.0,1.0,1.0,2.0,1250.0,2.0,0.0,1.0,1.0,0,0.0,3050.0,1161.0,4950.0,0.0,5698.0,1889.0,1507,433.7757133377571,全国赛
