学校名,队伍类别,局数,胜局率,平均造成伤害,平均装配次数,平均飞镖伤害,平均易伤机器人秒,平均造成伤害_分,平均装配次数_分,平均飞镖伤害_分,平均易伤机器人秒_分,风格分类
深圳大学,全国赛,11,0.7272727272727273,5809.0,2.0,397.72727272727275,28.90909090909091,71.48595789566211,42.857142857142854,64.74630021141648,1.869525171961042,低暴露控图型
南京理工大学,全国赛,5,0.6,3779.8,3.6,80.0,0.2,46.514481606821086,77.14285714285714,13.023255813953488,0.012933821944384567,低暴露控图型
南京航空航天大学金城学院,复活赛,10,0.6,4030.7,0.1,0.0,0.0,49.602074451720654,2.142857142857143,0.0,0.0,低暴露控图型
上海交通大学,全国赛,7,0.5714285714285714,4107.142857142857,3.0,0.0,256.85714285714283,50.542785566738445,64.28571428571428,0.0,16.610722754288176,低暴露控图型
合肥工业大学（宣城校区）,全国赛,16,0.5625,4404.4375,2.25,25.0,391.125,54.20131411242474,48.21428571428571,4.069767441860464,25.293705539987066,低暴露控图型
武汉工程大学,全国赛,9,0.5555555555555556,4927.777777777777,4.111111111111111,0.0,54.22222222222222,60.641575958237496,88.09523809523809,0.0,3.5065028382553716,低暴露控图型
西安电子科技大学,复活赛,9,0.5555555555555556,4064.6666666666665,1.4444444444444444,58.888888888888886,314.3333333333333,50.02007061339896,30.95238095238095,9.586563307493538,20.327656822591074,低暴露控图型
哈尔滨工业大学（深圳）,全国赛,11,0.45454545454545453,4129.636363636364,2.272727272727273,0.0,576.3636363636364,50.81959222160515,48.701298701298704,0.0,37.27292323972643,低暴露控图型
电子科技大学中山学院,全国赛,9,0.4444444444444444,3643.8888888888887,1.8888888888888888,311.1111111111111,228.77777777777777,44.8419500236843,40.476190476190474,50.64599483204133,14.794855213048791,低暴露控图型
长安大学,全国赛,12,0.4166666666666667,3144.6666666666665,1.0833333333333333,133.33333333333334,345.8333333333333,38.69848664644955,23.21428571428571,21.705426356589147,22.364733778831646,低暴露控图型
深圳技术大学,复活赛,10,0.4,3516.2,1.0,140.0,67.1,43.27060167889948,21.428571428571427,22.790697674418603,4.339297262341021,低暴露控图型
广东工业大学,复活赛,13,0.38461538461538464,4506.076923076923,2.1538461538461537,400.0,327.53846153846155,55.45209591972656,46.15384615384615,65.11627906976743,21.18162070738057,低暴露控图型
复旦大学,全国赛,8,0.375,4459.5,3.0,50.0,341.25,54.878917065881424,64.28571428571428,8.139534883720929,22.068333692606164,低暴露控图型
北京理工大学（珠海）,全国赛,6,0.3333333333333333,2822.3333333333335,0.5,0.0,623.6666666666666,34.73183023484083,10.714285714285714,0.0,40.33196809657254,低暴露控图型
山东理工大学,复活赛,10,0.3,4202.6,3.3,40.0,222.6,51.717487803806094,70.71428571428571,6.511627906976744,14.39534382410002,低暴露控图型
沈阳理工大学,复活赛,11,0.2727272727272727,3957.818181818182,1.1818181818181819,18.181818181818183,503.8181818181818,48.70518572975392,25.324675324675322,2.9598308668076108,32.58147327989966,低暴露控图型
桂林电子科技大学,复活赛,12,0.25,3985.0833333333335,1.1666666666666667,150.0,484.25,49.04071258002608,25.0,24.418604651162788,31.316016382841134,低暴露控图型
中国矿业大学,复活赛,9,0.2222222222222222,2794.3333333333335,0.4444444444444444,83.33333333333333,683.2222222222222,34.387260288020634,9.523809523809524,13.565891472868216,44.18337285334483,低暴露控图型
厦门大学嘉庚学院,复活赛,9,0.2222222222222222,4370.777777777777,1.8888888888888888,44.44444444444444,332.8888888888889,53.78709523042138,40.476190476190474,7.235142118863049,21.527628080764536,低暴露控图型
华南农业大学,全国赛,13,0.8461538461538461,5682.0,3.4615384615384617,338.46153846153845,722.3076923076923,69.92308706544192,74.17582417582418,55.09838998211091,46.710995406835025,均衡复合型
东北大学,全国赛,14,0.7857142857142857,8126.071428571428,2.9285714285714284,614.2857142857143,383.0,100.0,62.75510204081631,100.0,24.768269023496444,均衡复合型
五邑大学,全国赛,13,0.7692307692307693,6703.384615384615,2.3076923076923075,61.53846153846154,225.46153846153845,82.49231715851502,49.45054945054944,10.017889087656528,14.580396968842754,均衡复合型
山东科技大学,全国赛,15,0.7333333333333333,5298.2,2.1333333333333333,416.6666666666667,670.4,65.20001758009933,45.714285714285715,67.82945736434108,43.35417115757706,均衡复合型
广州城市理工学院,全国赛,18,0.6111111111111112,5283.611111111111,1.8888888888888888,277.77777777777777,493.77777777777777,65.02048569907754,40.476190476190474,45.21963824289405,31.93216928935834,均衡复合型
仲恺农业工程学院,全国赛,10,0.6,5494.7,3.5,0.0,485.7,67.61816024260537,75.0,0.0,31.409786591937916,均衡复合型
浙江大学,全国赛,12,0.5833333333333334,5268.916666666667,2.3333333333333335,468.75,252.33333333333334,64.83965484404987,50.0,76.30813953488371,16.318172019831863,均衡复合型
哈尔滨工业大学（威海）,全国赛,15,0.5333333333333333,5905.266666666666,3.3333333333333335,171.66666666666666,730.2666666666667,72.67062218901536,71.42857142857143,27.945736434108525,47.225695192929514,均衡复合型
西北工业大学,全国赛,21,0.5238095238095238,4294.9047619047615,1.5714285714285714,28.571428571428573,609.6666666666666,52.853396621690905,33.6734693877551,4.651162790697675,39.426600560465616,均衡复合型
大连理工大学,全国赛,8,0.5,4633.875,2.5,487.5,389.75,57.02478794005186,53.57142857142857,79.36046511627907,25.204785514119422,均衡复合型
华南理工大学,全国赛,11,0.45454545454545453,4488.727272727273,1.4545454545454546,72.72727272727273,615.6363636363636,55.238589916214856,31.16883116883117,11.839323467230443,39.81265554880558,均衡复合型
东莞理工学院,全国赛,18,0.4444444444444444,5374.444444444444,2.2777777777777777,116.66666666666667,604.5555555555555,66.13828701465496,48.8095238095238,18.992248062015506,39.09606955522024,均衡复合型
华东理工大学,全国赛,9,0.4444444444444444,5601.888888888889,2.4444444444444446,208.33333333333334,459.22222222222223,68.93723416203969,52.38095238095239,33.91472868217054,29.69749227563412,均衡复合型
江南大学霞客湾校区,复活赛,13,0.38461538461538464,4060.6923076923076,1.5384615384615385,46.15384615384615,663.6923076923077,49.971161875526136,32.967032967032964,7.513416815742397,42.92039066775002,均衡复合型
南华大学,复活赛,13,0.3076923076923077,4341.307692307692,2.6923076923076925,61.53846153846154,884.0769230769231,53.424434309592314,57.6923076923077,10.017889087656528,57.172467541081474,均衡复合型
华中科技大学,复活赛,10,0.3,3444.0,3.2,240.0,556.7,42.382103458884544,68.57142857142857,39.06976744186046,36.00129338219445,均衡复合型
太原科技大学,复活赛,8,0.25,3712.25,2.125,100.0,1409.25,45.68320661011735,45.535714285714285,16.279069767441857,91.13494287561976,均衡复合型
北京理工大学,全国赛,7,0.7142857142857143,4546.857142857143,3.0,0.0,1011.1428571428571,55.95394013976179,64.28571428571428,0.0,65.38970837310997,工程运营型
西安交通大学,全国赛,7,0.7142857142857143,5274.857142857143,4.428571428571429,178.57142857142858,989.8571428571429,64.91275875708699,94.89795918367346,29.069767441860467,64.01318018045762,工程运营型
同济大学,全国赛,6,0.6666666666666666,6808.0,4.666666666666667,0.0,1162.0,83.77972135542566,100.0,0.0,75.14550549687434,工程运营型
哈尔滨工业大学,全国赛,12,0.4166666666666667,4475.833333333333,3.8333333333333335,341.6666666666667,753.0,55.07991620152654,82.14285714285714,55.62015503875969,48.69583962060789,工程运营型
南方科技大学,复活赛,7,0.14285714285714285,3655.4285714285716,2.857142857142857,107.14285714285714,745.4285714285714,44.9839581593636,61.224489795918366,17.441860465116278,48.206202075570474,工程运营型
中国石油大学（华东）,全国赛,10,0.9,6704.1,1.9,140.0,555.0,82.50112073133214,40.71428571428571,22.790697674418603,35.89135589566717,火力压制型
中国科学技术大学,复活赛,3,0.3333333333333333,4089.3333333333335,1.3333333333333333,0.0,1546.3333333333333,50.32362032845485,28.57142857142857,0.0,100.0,火力压制型
应急管理大学,复活赛,8,0.25,5013.5,2.5,25.0,757.125,61.69647958510966,53.57142857142857,4.069767441860464,48.96259969821082,火力压制型
