指标,胜方均值,负方均值,胜负差,方向
末基地血量,4837.384615384615,3887.3675213675215,950.0170940170938,胜方更高
末前哨血量,93.31623931623932,7.756410256410256,85.55982905982906,胜方更高
末总血量,5986.696581196581,4677.717948717948,1308.9786324786328,胜方更高
造成非判罚伤害,5593.48717948718,3915.1324786324785,1678.3547008547012,胜方更高
受非判罚伤害,3915.1324786324785,5593.48717948718,-1678.3547008547012,负方更高
伤害每百发,461.29540688600366,392.6152787546973,68.68012813130639,胜方更高
末总金币,2939.4871794871797,2555.7264957264956,383.76068376068406,胜方更高
末剩余金币,856.9059829059829,553.3162393162393,303.58974358974365,胜方更高
消耗金币估计,2082.5811965811968,2002.4102564102564,80.17094017094041,胜方更高
装配次数,2.6196581196581197,1.9487179487179487,0.670940170940171,胜方更高
小能量激活,0.7307692307692307,0.41452991452991456,0.31623931623931617,胜方更高
大能量激活,0.3803418803418803,0.18376068376068377,0.19658119658119655,胜方更高
飞镖伤害,227.35042735042734,95.21367521367522,132.13675213675214,胜方更高
易伤机器人秒,443.6111111111111,581.9487179487179,-138.3376068376068,负方更高
