replay_id,match_seq,round_no,game_id,赛区,场次号,红方学校,蓝方学校,红胜局,蓝胜局,胜方学校,本局胜方,本局胜方学校,entities,frames,events,file
1,1,1,1780389108168,北部赛区,90,东北大学,哈尔滨工业大学,3,1,东北大学,蓝,哈尔滨工业大学,16,209,1070,data/battlescope_replays/match_001.json
2,1,2,1780389810101,北部赛区,90,东北大学,哈尔滨工业大学,3,1,东北大学,红,东北大学,16,209,993,data/battlescope_replays/match_002.json
3,1,3,1780391063510,北部赛区,90,东北大学,哈尔滨工业大学,3,1,东北大学,红,东北大学,16,179,934,data/battlescope_replays/match_003.json
4,1,4,1780391866389,北部赛区,90,东北大学,哈尔滨工业大学,3,1,东北大学,红,东北大学,15,209,974,data/battlescope_replays/match_004.json
5,2,1,1778998192727,南部赛区,87,广州城市理工学院,东莞理工学院,3,1,广州城市理工学院,蓝,东莞理工学院,16,209,984,data/battlescope_replays/match_005.json
6,2,2,1778998916450,南部赛区,87,广州城市理工学院,东莞理工学院,3,1,广州城市理工学院,红,广州城市理工学院,16,209,950,data/battlescope_replays/match_006.json
7,2,3,1779000203795,南部赛区,87,广州城市理工学院,东莞理工学院,3,1,广州城市理工学院,红,广州城市理工学院,16,209,1001,data/battlescope_replays/match_007.json
8,2,4,1779000910062,南部赛区,87,广州城市理工学院,东莞理工学院,3,1,广州城市理工学院,红,广州城市理工学院,16,209,1099,data/battlescope_replays/match_008.json
9,3,1,1779001883111,南部赛区,88,五邑大学,华南农业大学,0,3,华南农业大学,蓝,华南农业大学,16,209,959,data/battlescope_replays/match_009.json
10,3,2,1779002815710,南部赛区,88,五邑大学,华南农业大学,0,3,华南农业大学,蓝,华南农业大学,16,209,1035,data/battlescope_replays/match_010.json
11,3,3,1779004144178,南部赛区,88,五邑大学,华南农业大学,0,3,华南农业大学,蓝,华南农业大学,16,209,914,data/battlescope_replays/match_011.json
12,4,1,1779689998185,东部赛区,87,合肥工业大学（宣城校区）,浙江大学,3,1,合肥工业大学（宣城校区）,红,合肥工业大学（宣城校区）,16,209,1074,data/battlescope_replays/match_012.json
13,4,2,1779690820249,东部赛区,87,合肥工业大学（宣城校区）,浙江大学,3,1,合肥工业大学（宣城校区）,红,合肥工业大学（宣城校区）,16,209,994,data/battlescope_replays/match_013.json
14,4,3,1779692086876,东部赛区,87,合肥工业大学（宣城校区）,浙江大学,3,1,合肥工业大学（宣城校区）,蓝,浙江大学,16,209,955,data/battlescope_replays/match_014.json
15,4,4,1779692812687,东部赛区,87,合肥工业大学（宣城校区）,浙江大学,3,1,合肥工业大学（宣城校区）,红,合肥工业大学（宣城校区）,15,209,701,data/battlescope_replays/match_015.json
16,5,1,1779693823256,东部赛区,88,山东科技大学,中国石油大学（华东）,1,3,中国石油大学（华东）,红,山东科技大学,16,209,891,data/battlescope_replays/match_016.json
17,5,2,1779694694514,东部赛区,88,山东科技大学,中国石油大学（华东）,1,3,中国石油大学（华东）,蓝,中国石油大学（华东）,16,209,813,data/battlescope_replays/match_017.json
18,5,3,1779696117794,东部赛区,88,山东科技大学,中国石油大学（华东）,1,3,中国石油大学（华东）,蓝,中国石油大学（华东）,15,209,707,data/battlescope_replays/match_018.json
19,5,4,1779697007200,东部赛区,88,山东科技大学,中国石油大学（华东）,1,3,中国石油大学（华东）,蓝,中国石油大学（华东）,15,209,779,data/battlescope_replays/match_019.json
20,6,1,1780384424933,北部赛区,89,哈尔滨工业大学（威海）,西北工业大学,3,0,哈尔滨工业大学（威海）,红,哈尔滨工业大学（威海）,16,209,1138,data/battlescope_replays/match_020.json
21,6,2,1780385130507,北部赛区,89,哈尔滨工业大学（威海）,西北工业大学,3,0,哈尔滨工业大学（威海）,红,哈尔滨工业大学（威海）,16,209,1047,data/battlescope_replays/match_021.json
22,6,3,1780386397433,北部赛区,89,哈尔滨工业大学（威海）,西北工业大学,3,0,哈尔滨工业大学（威海）,红,哈尔滨工业大学（威海）,16,209,1074,data/battlescope_replays/match_022.json
23,7,1,1780322243835,北部赛区,78,复旦大学,哈尔滨工业大学,1,2,哈尔滨工业大学,蓝,哈尔滨工业大学,16,209,1006,data/battlescope_replays/match_023.json
24,7,2,1780323038454,北部赛区,78,复旦大学,哈尔滨工业大学,1,2,哈尔滨工业大学,红,复旦大学,16,209,1034,data/battlescope_replays/match_024.json
25,7,3,1780323852230,北部赛区,78,复旦大学,哈尔滨工业大学,1,2,哈尔滨工业大学,蓝,哈尔滨工业大学,16,209,1079,data/battlescope_replays/match_025.json
26,8,1,1778735137175,南部赛区,27,广东工业大学,广州城市理工学院,1,2,广州城市理工学院,红,广东工业大学,16,209,838,data/battlescope_replays/match_026.json
27,8,2,1778735937597,南部赛区,27,广东工业大学,广州城市理工学院,1,2,广州城市理工学院,蓝,广州城市理工学院,16,209,852,data/battlescope_replays/match_027.json
28,8,3,1778736603265,南部赛区,27,广东工业大学,广州城市理工学院,1,2,广州城市理工学院,蓝,广州城市理工学院,16,209,809,data/battlescope_replays/match_028.json
