机器人类型,结果,样本数,平均x,平均y
英雄,胜局,38,13.356250877192982,8.328630701754385
英雄,负局,38,14.838356412583183,8.284168935269205
工程,胜局,36,12.07380420391656,6.379336256002928
工程,负局,38,15.307901754385963,8.163926315789475
步兵3,胜局,38,13.655070970529772,7.884349310776942
步兵3,负局,38,14.287234911230685,6.82337411728555
步兵4,胜局,36,14.173574074074075,7.5814502234993615
步兵4,负局,38,14.65577456140351,8.429129824561405
哨兵,胜局,38,13.724970050125316,8.528299874686718
哨兵,负局,38,14.74373242589232,7.73648720508167
空中,胜局,38,13.108784210526316,8.163537719298247
空中,负局,37,13.567190407402478,7.102421843518395
