学校名,队伍名称,2025学校名,2025队伍名称,2025国赛成绩,2025国赛参考分,来源,来源链接
中国石油大学（华东）,RPS,中国石油大学（华东）,RPS,八强,80.0,RoboMaster 2025机甲大师超级对抗赛全国赛获奖名单（官方公告，2025-08-08）,https://www.robomaster.com/zh-CN/resource/pages/announcement/1856
东北大学,TDT,东北大学,TDT,殿军,88.0,RoboMaster 2025机甲大师超级对抗赛全国赛获奖名单（官方公告，2025-08-08）,https://www.robomaster.com/zh-CN/resource/pages/announcement/1856
西安交通大学,笃行,西安交通大学,笃行,三十二强,58.0,RoboMaster 2025机甲大师超级对抗赛全国赛获奖名单（官方公告，2025-08-08）,https://www.robomaster.com/zh-CN/resource/pages/announcement/1856
南京理工大学,Alliance,南京理工大学,Alliance,三等奖,42.0,RoboMaster 2025机甲大师超级对抗赛全国赛获奖名单（官方公告，2025-08-08）,https://www.robomaster.com/zh-CN/resource/pages/announcement/1856
五邑大学,IMCA,五邑大学,IMCA,三十二强,58.0,RoboMaster 2025机甲大师超级对抗赛全国赛获奖名单（官方公告，2025-08-08）,https://www.robomaster.com/zh-CN/resource/pages/announcement/1856
同济大学,SuperPower,同济大学,SuperPower,八强,80.0,RoboMaster 2025机甲大师超级对抗赛全国赛获奖名单（官方公告，2025-08-08）,https://www.robomaster.com/zh-CN/resource/pages/announcement/1856
华南农业大学,Taurus,华南农业大学,Taurus,十六强,70.0,RoboMaster 2025机甲大师超级对抗赛全国赛获奖名单（官方公告，2025-08-08）,https://www.robomaster.com/zh-CN/resource/pages/announcement/1856
深圳大学,RobotPilots,深圳大学,RobotPilots,十六强,70.0,RoboMaster 2025机甲大师超级对抗赛全国赛获奖名单（官方公告，2025-08-08）,https://www.robomaster.com/zh-CN/resource/pages/announcement/1856
山东科技大学,SmartRobot,山东科技大学,SmartRobot,三十二强,58.0,RoboMaster 2025机甲大师超级对抗赛全国赛获奖名单（官方公告，2025-08-08）,https://www.robomaster.com/zh-CN/resource/pages/announcement/1856
北京理工大学,追梦,北京理工大学,追梦,三等奖,42.0,RoboMaster 2025机甲大师超级对抗赛全国赛获奖名单（官方公告，2025-08-08）,https://www.robomaster.com/zh-CN/resource/pages/announcement/1856
