学校名,队伍名称,参赛类别,全国赛种子梯队,复活赛梯队,模型强度分,复活赛晋级全国赛概率,全国赛十六强概率,全国赛八强概率,全国赛四强概率,全国赛夺冠概率,模拟次数,模型备注
东北大学,TDT,全国赛,第一梯队,,84.776,,0.959633,0.923833,0.860533,0.509300,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
中国石油大学（华东）,RPS,全国赛,第一梯队,,79.108,,0.886300,0.805900,0.687100,0.236600,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
华南农业大学,Taurus,全国赛,第一梯队,,74.661,,0.788367,0.654633,0.489767,0.102767,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
山东科技大学,SmartRobot,全国赛,第二梯队,,71.818,,0.684300,0.519767,0.336733,0.053100,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
同济大学,SuperPower,全国赛,,,69.220,,0.566900,0.399600,0.231967,0.026267,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
西安交通大学,笃行,全国赛,第五梯队,,67.647,,0.564633,0.379833,0.204633,0.020300,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
深圳大学,RobotPilots,全国赛,,,67.274,,0.525100,0.342767,0.179067,0.015600,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
浙江大学,Hello World,全国赛,第四梯队,,66.473,,0.558267,0.362700,0.177400,0.014333,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
南京理工大学,Alliance,全国赛,,,61.422,,0.479567,0.267733,0.094267,0.003867,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
仲恺农业工程学院,奇点,全国赛,,,61.700,,0.478167,0.265567,0.091067,0.003867,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
五邑大学,IMCA,全国赛,第二梯队,,60.948,,0.506633,0.277767,0.090167,0.003167,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
哈尔滨工业大学,I Hiter,全国赛,第二梯队,,60.039,,0.512333,0.270533,0.081667,0.002433,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
北京理工大学,追梦,全国赛,,,59.996,,0.467100,0.247733,0.074167,0.002167,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
大连理工大学,凌BUG,全国赛,,,55.728,,0.458633,0.181400,0.039000,0.000933,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
华东理工大学,起源,全国赛,,,56.759,,0.459667,0.200967,0.046067,0.000867,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
哈尔滨工业大学（威海）,HERO,全国赛,第三梯队,,56.905,,0.499667,0.224933,0.052833,0.000833,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
合肥工业大学（宣城校区）,WDR,全国赛,第三梯队,,55.805,,0.502900,0.204333,0.041933,0.000633,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
上海交通大学,交龙,全国赛,第五梯队,,54.975,,0.500367,0.187067,0.035967,0.000600,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
西安电子科技大学,IRobot,复活赛,,第一梯队,54.962,0.481400,0.220733,0.079933,0.015500,0.000400,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
中国科学技术大学,RoboWalker,复活赛,,第一梯队,55.344,0.533233,0.243767,0.093700,0.018600,0.000367,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
武汉工程大学,Nautilus,全国赛,,,54.241,,0.457900,0.151467,0.027533,0.000333,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
华南理工大学,华南虎,全国赛,第五梯队,,52.670,,0.488367,0.137200,0.020767,0.000233,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
山东理工大学,齐奇,复活赛,,第一梯队,54.236,0.434500,0.199367,0.065667,0.011767,0.000233,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
广州城市理工学院,野狼,全国赛,第三梯队,,52.490,,0.484600,0.133333,0.018267,0.000200,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
南方科技大学,ARTINX,复活赛,,第一梯队,55.094,0.503133,0.230033,0.085233,0.017100,0.000200,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
广东工业大学,DynamicX,复活赛,,第一梯队,54.061,0.415033,0.191700,0.060967,0.010600,0.000133,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
复旦大学,星云EGA,全国赛,,,48.724,,0.417133,0.068067,0.006600,0.000100,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
电子科技大学中山学院,RoboBraver,全国赛,第五梯队,,50.454,,0.473300,0.097533,0.011000,0.000067,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
华中科技大学,狼牙,复活赛,,第二梯队,49.868,0.249600,0.107100,0.019867,0.002267,0.000067,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
长安大学,VGD,全国赛,,,51.145,,0.445967,0.097233,0.011767,0.000033,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
哈尔滨工业大学（深圳）,南工骁鹰,全国赛,,,48.631,,0.415100,0.066367,0.005967,0.000000,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
东莞理工学院,ACE,全国赛,第四梯队,,43.760,,0.287167,0.024200,0.001467,0.000000,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
南华大学,MA,复活赛,,第一梯队,48.654,0.238000,0.099567,0.015967,0.001333,0.000000,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
太原科技大学,NewMaker,复活赛,,第二梯队,48.716,0.225867,0.094733,0.015867,0.001267,0.000000,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
南京航空航天大学金城学院,Born of Fire,复活赛,,第一梯队,47.947,0.207633,0.084600,0.013167,0.001167,0.000000,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
应急管理大学,风暴,复活赛,,第二梯队,48.204,0.201533,0.080700,0.011633,0.000833,0.000000,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
江南大学霞客湾校区,SHARK,复活赛,,第二梯队,47.800,0.176100,0.072100,0.010167,0.000767,0.000000,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
西北工业大学,WMJ,全国赛,第四梯队,,41.501,,0.211400,0.013233,0.000433,0.000000,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
北京理工大学（珠海）,毅恒,全国赛,,,41.514,,0.203367,0.013300,0.000267,0.000000,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
沈阳理工大学,Ambition,复活赛,,第二梯队,45.425,0.127733,0.043733,0.005067,0.000233,0.000000,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
厦门大学嘉庚学院,TCR,复活赛,,第二梯队,44.113,0.099200,0.029633,0.002733,0.000100,0.000000,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
桂林电子科技大学,Evolution,复活赛,,第二梯队,40.851,0.055367,0.012667,0.000933,0.000067,0.000000,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
中国矿业大学,CUBOT,复活赛,,第一梯队,37.467,0.030100,0.004167,0.000067,0.000000,0.000000,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
深圳技术大学,悍匠,复活赛,,第二梯队,36.920,0.021567,0.002567,0.000033,0.000000,0.000000,30000,按参赛手册抽签盒随机分组；复活赛3轮瑞士+双败争4名额；全国赛5轮瑞士+16进8/8进4双败+半决赛/决赛。
